end_device_ids.device_id,end_device_ids.application_ids.application_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,correlation_ids_0,received_at,uplink_message.session_key_id,uplink_message.f_port,uplink_message.f_cnt,uplink_message.frm_payload,uplink_message.decoded_payload.bytes_0,uplink_message.decoded_payload.bytes_1,uplink_message.decoded_payload.bytes_2,uplink_message.decoded_payload.bytes_3,uplink_message.rx_metadata_0.gateway_ids.gateway_id,uplink_message.rx_metadata_0.gateway_ids.eui,uplink_message.rx_metadata_0.time,uplink_message.rx_metadata_0.timestamp,uplink_message.rx_metadata_0.rssi,uplink_message.rx_metadata_0.channel_rssi,uplink_message.rx_metadata_0.location.latitude,uplink_message.rx_metadata_0.location.longitude,uplink_message.rx_metadata_0.location.altitude,uplink_message.rx_metadata_0.location.source,uplink_message.rx_metadata_0.uplink_token,uplink_message.rx_metadata_0.received_at,uplink_message.settings.data_rate.lora.bandwidth,uplink_message.settings.data_rate.lora.spreading_factor,uplink_message.settings.data_rate.lora.coding_rate,uplink_message.settings.frequency,uplink_message.settings.timestamp,uplink_message.settings.time,uplink_message.received_at,uplink_message.consumed_airtime,uplink_message.version_ids.brand_id,uplink_message.version_ids.model_id,uplink_message.version_ids.hardware_version,uplink_message.version_ids.firmware_version,uplink_message.version_ids.band_id,uplink_message.network_ids.net_id,uplink_message.network_ids.ns_id,uplink_message.network_ids.tenant_id,uplink_message.network_ids.cluster_id,uplink_message.network_ids.cluster_address
0,0,0,0,0,0,0,0,2,11314,0,13,72,0,0,0,0,0,3092399310,-98,-98,38.385917659159134,-0.5170252919197084,20,0,0,0,125000,7,0,0,3092399310,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,1,1,1,2,12175,1,13,29,0,0,1,1,1,3216523680,-98,-98,38.38418726539637,-0.5101910233497621,10,0,1,1,125000,7,0,1,3216523680,1,1,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,2,2,2,85,2182,2,3,123,0,0,2,2,2,1048476494,-103,-103,38.3846865837538,-0.513212937943281,20,0,2,2,125000,7,0,0,1048476494,2,2,1,1,1,1,1,0,0,0,0,0,0
3,0,3,1,3,3,3,3,85,2457,2,3,123,0,0,2,2,3,1053857086,-98,-98,38.3846865837538,-0.513212937943281,20,0,3,3,125000,7,0,2,1053857086,3,3,1,1,1,1,1,0,0,0,0,0,0
4,0,4,0,4,4,4,4,2,12178,3,13,30,0,0,0,0,4,3448411766,-90,-90,38.385917659159134,-0.5170252919197084,20,0,4,4,125000,7,0,3,3448411766,4,4,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,5,5,5,2,12249,4,13,27,0,0,0,0,5,3521968478,-91,-91,38.385917659159134,-0.5170252919197084,20,0,5,5,125000,7,0,2,3521968478,5,5,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,6,6,6,85,2189,2,3,123,0,0,1,1,6,3551153869,-97,-97,38.38418726539637,-0.5101910233497621,10,0,6,6,125000,7,0,4,3551153869,6,6,1,1,1,1,1,0,0,0,0,0,0
7,0,7,0,7,7,7,7,2,12176,5,13,38,0,0,0,0,7,3623369446,-107,-107,38.385917659159134,-0.5170252919197084,20,0,7,7,125000,7,0,5,3623369446,7,7,0,0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,8,8,8,2,12250,6,13,44,0,0,0,0,8,3657153550,-93,-93,38.385917659159134,-0.5170252919197084,20,0,8,8,125000,7,0,4,3657153550,8,8,0,0,0,0,0,0,0,0,0,0,0
9,0,9,0,9,9,9,9,2,12174,7,13,29,0,0,0,0,9,3681557502,-102,-102,38.385917659159134,-0.5170252919197084,20,0,9,9,125000,7,0,1,3681557502,9,9,0,0,0,0,0,0,0,0,0,0,0
