id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,end_device_ids.device_id,0,0,0,0.56,0.57,0.56,0.57,0.57,0.58,0.59,0.57,0.57,0.56,0.58,0.55,0.56,0.54,0.57,0.57,0.57,0.56,0.56,0.57,0.58,0.57,0.57,0.57,0.56,14.18,0.57,false
1,end_device_ids.device_id,0.07142857142857142,0,0.001953125,0.55,0.55,0.57,0.56,0.56,0.56,0.57,0.56,0.54,0.55,0.55,0.55,0.57,0.54,0.56,0.57,0.54,0.54,0.56,0.56,0.55,0.55,0.55,0.56,0.54,13.86,0.55,false
2,end_device_ids.device_id,0.14285714285714285,0,0.00390625,0.57,0.58,0.58,0.58,0.57,0.55,0.57,0.58,0.57,0.56,0.56,0.56,0.57,0.56,0.53,0.57,0.57,0.57,0.56,0.57,0.57,0.59,0.57,0.58,0.55,14.19,0.57,false
3,end_device_ids.device_id,0.21428571428571427,0,0.005859375,0.55,0.55,0.56,0.54,0.57,0.55,0.55,0.56,0.54,0.55,0.54,0.54,0.56,0.55,0.52,0.57,0.55,0.55,0.55,0.54,0.55,0.55,0.55,0.55,0.54,13.73,0.55,false
4,end_device_ids.device_id,0.2857142857142857,0,0.0078125,0.51,0.50,0.51,0.51,0.48,0.51,0.50,0.49,0.50,0.50,0.50,0.51,0.50,0.49,0.50,0.49,0.50,0.49,0.49,0.52,0.50,0.51,0.51,0.50,0.49,12.51,0.50,false
5,end_device_ids.device_id,0.35714285714285715,0,0.009765625,0.50,0.49,0.49,0.50,0.48,0.49,0.50,0.48,0.49,0.49,0.49,0.50,0.48,0.49,0.49,0.49,0.50,0.49,0.48,0.51,0.48,0.50,0.50,0.49,0.49,12.29,0.49,false
6,end_device_ids.device_id,0.42857142857142855,0,0.01171875,0.59,0.56,0.59,0.58,0.59,0.59,0.58,0.60,0.59,0.57,0.59,0.59,0.59,0.59,0.56,0.60,0.58,0.58,0.59,0.59,0.58,0.60,0.58,0.58,0.57,14.61,0.58,false
7,end_device_ids.device_id,0.5,0,0.013671875,0.50,0.47,0.48,0.50,0.49,0.49,0.49,0.48,0.49,0.49,0.49,0.51,0.47,0.48,0.50,0.48,0.51,0.48,0.48,0.50,0.48,0.50,0.49,0.47,0.49,12.21,0.49,false
8,end_device_ids.device_id,0.5714285714285714,0,0.015625,0.48,0.47,0.46,0.48,0.46,0.47,0.48,0.47,0.48,0.48,0.47,0.49,0.46,0.47,0.48,0.47,0.49,0.46,0.46,0.50,0.47,0.49,0.48,0.46,0.48,11.86,0.47,false
9,end_device_ids.device_id,0.6428571428571429,0,0.017578125,0.47,0.47,0.46,0.48,0.47,0.48,0.48,0.47,0.48,0.48,0.47,0.47,0.46,0.47,0.47,0.46,0.49,0.47,0.46,0.48,0.48,0.48,0.48,0.46,0.48,11.82,0.47,false
