end_device_ids.device_id,end_device_ids.application_ids.application_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,correlation_ids_0,received_at,uplink_message.session_key_id,uplink_message.f_port,uplink_message.f_cnt,uplink_message.frm_payload,uplink_message.decoded_payload.bytes_0,uplink_message.decoded_payload.bytes_1,uplink_message.decoded_payload.bytes_2,uplink_message.decoded_payload.bytes_3,uplink_message.rx_metadata_0.gateway_ids.gateway_id,uplink_message.rx_metadata_0.gateway_ids.eui,uplink_message.rx_metadata_0.time,uplink_message.rx_metadata_0.timestamp,uplink_message.rx_metadata_0.rssi,uplink_message.rx_metadata_0.channel_rssi,uplink_message.rx_metadata_0.location.latitude,uplink_message.rx_metadata_0.location.longitude,uplink_message.rx_metadata_0.location.altitude,uplink_message.rx_metadata_0.location.source,uplink_message.rx_metadata_0.uplink_token,uplink_message.rx_metadata_0.received_at,uplink_message.settings.data_rate.lora.bandwidth,uplink_message.settings.data_rate.lora.spreading_factor,uplink_message.settings.data_rate.lora.coding_rate,uplink_message.settings.frequency,uplink_message.settings.timestamp,uplink_message.settings.time,uplink_message.received_at,uplink_message.consumed_airtime,uplink_message.version_ids.brand_id,uplink_message.version_ids.model_id,uplink_message.version_ids.hardware_version,uplink_message.version_ids.firmware_version,uplink_message.version_ids.band_id,uplink_message.network_ids.net_id,uplink_message.network_ids.ns_id,uplink_message.network_ids.tenant_id,uplink_message.network_ids.cluster_id,uplink_message.network_ids.cluster_address
'ua-gardens-s005','ua-bim','A84041797189B7C6','A840410000000101','260B8B98','gs:uplink:01J9XQ3H3YMHXZBMEKYFRE1TVA','2024-10-11T11:58:26.635451179Z','AY9SPgC/TSdrORvBdPUmfg==',2,11314,'DUgAAAAAAAAAABA=',13,72,0,0,'smartua-iot-r03','3436323818005700','2024-10-11T11:58:16.544213Z',3092399310,-98,-98,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABDOicnCCxoMCOKlpLgGELWi38wBILCJ84qAkOkB','2024-10-11T11:58:26.405707243Z',125000,7,'4/5','868500000',3092399310,'2024-10-11T11:58:16.544213Z','2024-10-11T11:58:26.431417087Z','0.061696s','dragino','lse01','_unknown_hw_version_','1.3','EU_863_870','000013','EC656E0000000181','ttn','eu1','eu1.cloud.thethings.network'
'ua-gardens-s011','ua-bim','A840412CE189B7DB','A840410000000101','260B1D13','gs:uplink:01J9XQ7A4YNW38ZWGEAD2JXDKX','2024-10-11T12:00:30.571247018Z','AY8UrEL+Iqk+Y912N0U+9w==',2,12175,'DR0AAAmOCU8CDxA=',13,29,0,0,'smartua-iot-r05','3730392055004100','2024-10-11T12:00:14.750588Z',3216523680,-98,-98,38.38418726539637,-0.5101910233497621,10,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA1Egg3MDkgVQBBABCgg+H9CxoMCN6mpLgGEMPVia4BIICygb7Ok+kB','2024-10-11T12:00:30.338231860Z',125000,7,'4/5','867500000',3216523680,'2024-10-11T12:00:14.750588Z','2024-10-11T12:00:30.367158111Z','0.061696s','dragino','lse01','_unknown_hw_version_','1.3','EU_863_870','000013','EC656E0000000181','ttn','eu1','eu1.cloud.thethings.network'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','gs:uplink:01J9XQASX216M7P9MBFVMNCCAM','2024-10-11T12:02:25.012696749Z','AZItc7c96sMKsOrHSXb9PA==',85,2182,'A3sAAA==',3,123,0,0,'smartua-iot-r01','3133303726006500','2024-10-11T12:02:02.320220Z',1048476494,-103,-103,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABDO9vnzAxoMCNCnpLgGENzzxP0CILDRxvDB0ekB','2024-10-11T12:02:24.772123656Z',125000,7,'4/5','868500000',1048476494,'2024-10-11T12:02:02.320220Z','2024-10-11T12:02:24.802995995Z','0.051456s','milesight-iot','em500-pp','V1.x','2.x','EU_863_870','000013','EC656E0000000181','ttn','eu1','eu1.cloud.thethings.network'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','gs:uplink:01J9XQAZ58V27X41DV71QM58NF','2024-10-11T12:02:30.392187162Z','AZIjm62atm064UfnSDyXow==',85,2457,'A3sAAA==',3,123,0,0,'smartua-iot-r01','3133303726006500','2024-10-11T12:02:07.701506Z',1053857086,-98,-98,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABC+qsL2AxoLCNanpLgGELvIrlcgsPSb9tXR6QE=','2024-10-11T12:02:30.155194983Z',125000,7,'4/5','867700000',1053857086,'2024-10-11T12:02:07.701506Z','2024-10-11T12:02:30.185569654Z','0.051456s','milesight-iot','em500-pp','V1.x','2.x','EU_863_870','000013','EC656E0000000181','ttn','eu1','eu1.cloud.thethings.network'
'ua-gardens-s006','ua-bim','A84041623189B7C0','A840410000000101','260B6B32','gs:uplink:01J9XQECS95ZZV4725SB4ZBYT3','2024-10-11T12:04:22.646049130Z','AY8UeSNIq7bZ+sOoqmFWNA==',2,12178,'DR4AAAowCFgC2hA=',13,30,0,0,'smartua-iot-r03','3436323818005700','2024-10-11T12:04:12.554874Z',3448411766,-90,-90,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABD2rKrsDBoMCMaopLgGELGh9dEBIPD57qqumukB','2024-10-11T12:04:22.416553319Z',125000,7,'4/5','867300000',3448411766,'2024-10-11T12:04:12.554874Z','2024-10-11T12:04:22.442291041Z','0.061696s','dragino','lse01','_unknown_hw_version_','1.3','EU_863_870','000013','EC656E0000000181','ttn','eu1','eu1.cloud.thethings.network'
'ua-gardens-s004','ua-bim','A84041A71189B7BB','A840410000000101','260B3D02','gs:uplink:01J9XQGMM1JA6TEBQQ3Z666DTK','2024-10-11T12:05:36.209323948Z','AY8PZCA69srmnfgNPx+LyA==',2,12249,'DRsAAALyCFMABxA=',13,27,0,0,'smartua-iot-r03','3436323818005700','2024-10-11T12:05:26.111757Z',3521968478,-91,-91,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABDe8rOPDRoMCI+ppLgGEL2r1NwDILCuuK3AnOkB','2024-10-11T12:05:35.975953523Z',125000,7,'4/5','867700000',3521968478,'2024-10-11T12:05:26.111757Z','2024-10-11T12:05:36.001896322Z','0.061696s','dragino','lse01','_unknown_hw_version_','1.3','EU_863_870','000013','EC656E0000000181','ttn','eu1','eu1.cloud.thethings.network'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','gs:uplink:01J9XQHGY80V0BMN0PC04KC4BN','2024-10-11T12:06:05.209187817Z','AZItOB5N6Ycfs5J9Lk/IPg==',85,2189,'A3sAAA==',3,123,0,0,'smartua-iot-r05','3730392055004100','2024-10-11T12:05:49.377371Z',3551153869,-97,-97,38.38418726539637,-0.5101910233497621,10,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA1Egg3MDkgVQBBABDNnamdDRoMCKyppLgGEIzIydwDIMihj4qtnekB','2024-10-11T12:06:04.972602917Z',125000,7,'4/5','868300000',3551153869,'2024-10-11T12:05:49.377371Z','2024-10-11T12:06:05.001293387Z','0.051456s','milesight-iot','em500-pp','V1.x','2.x','EU_863_870','000013','EC656E0000000181','ttn','eu1','eu1.cloud.thethings.network'
'ua-gardens-s009','ua-bim','A84041674189B7E3','A840410000000101','260BE73F','gs:uplink:01J9XQKQMT2XJNW0XAEF4YH659','2024-10-11T12:07:17.611412730Z','AY8Un8jC/QcyYtnFrWRhHw==',2,12176,'DSYAAAbrCPEBoBA=',13,38,0,0,'smartua-iot-r03','3436323818005700','2024-10-11T12:07:07.511866Z',3623369446,-107,-107,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABDm9eC/DRoMCPWppLgGEMC9o78BIPCkmI26n+kB','2024-10-11T12:07:17.377464694Z',125000,7,'4/5','867100000',3623369446,'2024-10-11T12:07:07.511866Z','2024-10-11T12:07:17.402903680Z','0.061696s','dragino','lse01','_unknown_hw_version_','1.3','EU_863_870','000013','EC656E0000000181','ttn','eu1','eu1.cloud.thethings.network'
'ua-gardens-s003','ua-bim','A840413E1189B7D8','A840410000000101','260B9A2E','gs:uplink:01J9XQMRMMT2YG364VAFGBQ76A','2024-10-11T12:07:51.401974693Z','AY8PVg/+7BKm98TZmVNZgg==',2,12250,'DSwAAAc3CMcArxA=',13,44,0,0,'smartua-iot-r03','3436323818005700','2024-10-11T12:07:41.295811Z',3657153550,-93,-93,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABCO+O7PDRoLCJeqpLgGEI+d8VggsK3a+reg6QE=','2024-10-11T12:07:51.162731845Z',125000,7,'4/5','868300000',3657153550,'2024-10-11T12:07:41.295811Z','2024-10-11T12:07:51.188987592Z','0.061696s','dragino','lse01','_unknown_hw_version_','1.3','EU_863_870','000013','EC656E0000000181','ttn','eu1','eu1.cloud.thethings.network'
'ua-gardens-s012','ua-bim','A8404151E189B7CC','A840410000000101','260BF8DC','gs:uplink:01J9XQNGF9XGXKJV6SRVPZ49D0','2024-10-11T12:08:15.802245678Z','AY8UufEXcllsLACoQ4uaTw==',2,12174,'DR0AAAn8CPMEIRA=',13,29,0,0,'smartua-iot-r03','3436323818005700','2024-10-11T12:08:05.699385Z',3681557502,-102,-102,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABD+t8DbDRoMCK+qpLgGEPnghZoCILCwte+SoekB','2024-10-11T12:08:15.567818543Z',125000,7,'4/5','867500000',3681557502,'2024-10-11T12:08:05.699385Z','2024-10-11T12:08:15.593959576Z','0.061696s','dragino','lse01','_unknown_hw_version_','1.3','EU_863_870','000013','EC656E0000000181','ttn','eu1','eu1.cloud.thethings.network'
