id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,2021 Nivel depósito ,0.29487179487179493,,,0.44,0.45,0.44,0.45,0.46,0.42,0.42,0.45,0.43,0.43,0.42,0.45,0.42,0.44,0.43,0.43,0.46,0.44,0.44,0.45,0.44,0.44,0.46,0.46,0.43,11.00,0.44,false
1,2021 Nivel depósito ,0.37179487179487136,,,0.43,0.43,0.43,0.45,0.44,0.42,0.42,0.44,0.43,0.45,0.43,0.44,0.43,0.44,0.43,0.43,0.44,0.43,0.41,0.42,0.43,0.44,0.43,0.44,0.43,10.81,0.43,false
2,2021 Nivel depósito ,0.43589743589743585,,,0.43,0.44,0.44,0.44,0.45,0.45,0.44,0.46,0.44,0.45,0.43,0.44,0.42,0.44,0.45,0.44,0.46,0.44,0.44,0.44,0.44,0.45,0.44,0.45,0.44,11.06,0.44,false
3,2021 Nivel depósito ,0.4999999999999997,,,0.42,0.43,0.45,0.44,0.46,0.45,0.44,0.46,0.45,0.44,0.44,0.44,0.43,0.44,0.46,0.44,0.44,0.44,0.43,0.44,0.44,0.45,0.43,0.44,0.44,11.04,0.44,false
4,2021 Nivel depósito ,0.5641025641025642,,,0.41,0.40,0.42,0.42,0.43,0.43,0.41,0.43,0.42,0.41,0.43,0.42,0.41,0.40,0.43,0.41,0.42,0.42,0.41,0.42,0.43,0.42,0.43,0.41,0.41,10.45,0.42,false
5,2021 Nivel depósito ,0.6025641025641024,,,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.44,0.44,0.41,0.43,0.43,0.42,0.41,0.42,0.42,0.42,0.41,0.40,0.43,0.43,0.45,0.44,0.41,0.41,10.55,0.42,false
6,2021 Nivel depósito ,0.6410256410256412,,,0.41,0.42,0.43,0.43,0.43,0.43,0.42,0.44,0.44,0.44,0.44,0.43,0.41,0.41,0.42,0.40,0.42,0.42,0.40,0.42,0.42,0.43,0.44,0.42,0.42,10.59,0.42,false
7,2021 Nivel depósito ,0.6794871794871794,,,0.43,0.43,0.42,0.44,0.42,0.42,0.41,0.43,0.43,0.43,0.43,0.44,0.42,0.42,0.42,0.41,0.43,0.42,0.41,0.42,0.42,0.43,0.44,0.43,0.41,10.61,0.42,false
8,2021 Nivel depósito ,0.7051282051282051,,,0.40,0.40,0.41,0.40,0.40,0.41,0.40,0.42,0.41,0.39,0.40,0.39,0.39,0.38,0.41,0.39,0.40,0.41,0.39,0.40,0.40,0.40,0.41,0.41,0.40,10.02,0.40,false
9,2021 Nivel depósito ,0.7435897435897433,,,0.41,0.40,0.41,0.39,0.39,0.40,0.38,0.41,0.41,0.38,0.39,0.41,0.39,0.39,0.41,0.38,0.41,0.40,0.39,0.40,0.40,0.39,0.41,0.40,0.39,9.94,0.40,false
10,2021 Nivel depósito ,0.782051282051282,,,0.40,0.40,0.40,0.39,0.39,0.41,0.39,0.40,0.40,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.40,0.38,0.40,0.40,0.41,0.41,0.41,0.39,0.40,9.90,0.40,false
