id,month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,score
14931,6,13,15,30,3.07,209.93,0,1.321,305.78,23.29,451.73,33.19,145.27,0,50.95,0.38
14937,6,13,17,0,3.17,286.65,0,1.267,283.9,22.9,425.67,33.49,189.4,0,51.29,0.38
14945,6,13,19,0,3.09,0,165.65,1.105,237.88,21.67,437.13,32.03,238.8,0,48.06,0.38
14946,6,13,19,15,3.05,0,189,1.073,239.66,21.01,431.8,31.78,240.33,0,47.72,0.38
14947,6,13,19,30,3,0,196.33,1.032,243.78,19.9,428.33,31.61,245.13,0,47.58,0.38
14950,6,13,20,15,2.85,0,237.18,0.889,253.94,21.39,430.13,31.24,254.47,0,47.16,0.38
14951,6,13,20,30,2.79,0,240.99,0.835,252.61,21.48,433.6,31.1,253.2,0,46.94,0.38
14960,6,13,22,45,2.46,294.25,0,0.59,343.89,24.82,447.87,32.82,202,0,50.75,0.38
14967,6,14,0,30,2.73,471.69,0,0.714,451.52,25.96,426.67,34.14,183.8,0,51.99,0.38
14970,6,14,1,15,2.88,481.4,0,0.949,479.14,26.89,423.67,34.34,151.2,0,52.11,0.38
14971,6,14,1,30,2.93,483.65,0,1.033,467.03,26.88,421.93,34.48,151.73,0,52.14,0.38
14974,6,14,2,15,3.09,478.93,0,1.276,461.39,26.82,437.33,34.7,144.73,0,52.22,0.38
14991,6,14,6,30,3.93,334.1,0,2.599,480.35,27.82,453.27,34.49,157.27,0,52.24,0.38
15005,6,14,10,0,3.73,0,133.2,2.038,333.34,22.76,433.53,32.99,47.73,24.49,50.31,0.38
15007,6,14,10,30,3.66,0,116.23,1.913,362.06,23.88,435,32.92,47.53,24.96,50.22,0.38
15011,6,14,11,30,3.51,0,63.18,1.723,355.88,23.76,433.93,33.01,47.93,0.07,50.39,0.38
15018,6,14,13,15,3.31,0,66.7,1.605,369.16,24.85,434.93,32.95,46.53,0,50.22,0.38
15019,6,14,13,30,3.28,5.25,68.97,1.601,369.76,24.82,437.47,32.8,46.93,0,50.04,0.38
15022,6,14,14,15,3.19,0,61.59,1.58,377.58,24.83,440.67,32.65,46.67,0,49.84,0.38
15039,6,14,18,30,3.28,162.38,0,1.27,318.29,24.84,440,33.31,113.8,0,50.92,0.38
15042,6,14,19,15,3.25,0,172.69,1.213,251.06,22.67,458.6,32.21,251.47,0,48.1,0.38
15063,6,15,0,30,2.9,402.3,0,0.783,461.89,27.29,419.07,33.82,122.8,0,51.61,0.38
15071,6,15,2,30,3.26,415.9,0,1.365,520.08,28.84,432,34.21,136.27,0,51.76,0.38
15072,6,15,2,45,3.3,446.9,0,1.432,521.07,28.88,443.4,34.46,91.93,0,51.88,0.38
15074,6,15,3,15,3.38,365.98,0,1.563,516.9,29.08,446.33,34.3,90.33,0,51.65,0.38
15080,6,15,4,45,3.61,362.66,0,1.98,485.36,29.89,444.4,34.37,138.87,0,52.14,0.38
15084,6,15,5,45,3.71,282.31,0,2.277,512.82,29.77,448.07,34.24,92.47,0,51.7,0.38
15093,6,15,8,0,3.65,0,266.63,2.396,434,23.78,439.67,32.06,82.07,25.87,48.99,0.38
15097,6,15,9,0,3.42,0,245.57,2.034,405.33,24.82,447.4,31.98,124.47,25.81,48.82,0.38
15098,6,15,9,15,3.37,0,236.11,1.947,421.43,25.28,444.93,32.11,124.2,25.36,48.84,0.38
15099,6,15,9,30,3.31,0,238.63,1.864,429.93,25.82,441.93,32.25,123,24.79,49.12,0.38
15113,6,15,13,0,2.76,0,80.5,1.399,371.08,25.84,433.67,32.13,73.73,0,49.35,0.38
15120,6,15,14,45,2.54,0,86.03,1.349,359.51,25.86,434.6,32.06,72.93,0,49.13,0.38
15121,6,15,15,0,2.5,0,76.93,1.347,362.34,25.97,436.53,31.98,73,0,49.12,0.38
15122,6,15,15,15,2.47,13.41,66.31,1.346,360.85,24.9,436.07,32.2,70.27,0,49.64,0.38
15126,6,15,16,15,2.56,391.66,0,1.319,315.15,24.88,442.27,33.67,368.4,0,52.87,0.38
15128,6,15,16,45,2.64,233.51,0,1.302,308.44,24.88,453.8,33.01,200.93,0,51.03,0.38
15129,6,15,17,0,2.65,241.66,0,1.298,299.65,24.27,443.07,32.98,201.53,0,50.97,0.38
15133,6,15,18,0,2.75,389.86,0,1.26,329.91,25.39,433,33.56,371.2,0,52.81,0.38
15135,6,15,18,30,2.83,349.49,0,1.26,328.81,25.16,434.4,33.44,369.87,0,52.84,0.38
15137,6,15,19,0,2.89,344.75,0,1.247,328.89,24.86,431.4,33.63,368,0,52.86,0.38
15149,6,15,22,0,2.57,150.66,0,0.83,381.98,26.25,425.73,32.61,201.87,0,50.69,0.38
15152,6,15,22,45,2.59,273.97,0,0.83,292.95,24.56,421,32.97,263.47,0,51.67,0.38
15162,6,16,1,15,2.97,483.89,0,1.203,486.17,30.65,433.07,34.65,193.6,0,52.56,0.38
15164,6,16,1,45,3.07,429.68,0,1.385,459.75,30.93,436.6,34.42,130.73,0,52.05,0.38
15178,6,16,5,15,3.73,390.87,0,2.643,430.6,26.83,413.2,34.53,194.8,0,52.43,0.38
15194,6,16,9,15,3.65,0,189.63,2.579,358.1,23.89,435.47,32.61,59.2,24.85,49.69,0.38
15195,6,16,9,30,3.6,0,209.01,2.506,342.56,23.84,425.47,32.41,59.4,25.27,49.95,0.38
15197,6,16,10,0,3.51,0,190.73,2.385,314.94,23.82,426.4,32.37,59.33,25.45,49.54,0.38
15198,6,16,10,15,3.47,0,178.72,2.325,308.91,23.79,427.2,32.38,59.27,25.56,49.48,0.38
15199,6,16,10,30,3.43,0,166.32,2.267,303.3,23.93,428.2,32.34,59.33,25.54,49.51,0.38
15201,6,16,11,0,3.35,6.36,10.23,2.177,318.22,23.76,414.87,33.09,86.4,6.56,50.85,0.38
15202,6,16,11,15,3.33,12.15,4.44,2.143,318.52,23.85,416.73,32.98,85.93,0.28,50.72,0.38
15206,6,16,12,15,3.27,9.31,4.1,1.991,312.61,22.81,415.2,33.06,79,0,50.75,0.38
15230,6,16,18,15,3.18,341.19,0,1.38,354.47,25.9,422.73,33.85,368.8,0,53.24,0.38
15238,6,16,20,15,3.06,0,275.14,1.083,253.3,21.78,433.8,31.3,254.73,0,47.13,0.38
15243,6,16,21,30,2.77,16.64,2.6,0.82,442.97,28.54,389.53,32.45,130.6,0,50.33,0.38
15244,6,16,21,45,2.76,39.79,0,0.82,405.74,27.33,386.93,32.63,148.13,0,50.62,0.38
15246,6,16,22,15,2.74,136.81,0,0.82,377.15,26.43,388.13,32.65,178.93,0,50.73,0.38
15264,6,17,2,45,3.28,398.73,0,1.641,502.15,30.22,435.53,34.34,102.13,0,51.78,0.38
15270,6,17,4,15,3.49,332.19,0,2.041,521,30.24,427.07,34.14,162.93,0,51.9,0.38
15271,6,17,4,30,3.53,373.85,0,2.116,514.69,30.45,423.8,34.34,161.27,0,52.25,0.38
15273,6,17,5,0,3.59,291.38,0,2.27,526.52,29.86,430.8,33.94,160.93,0,51.72,0.38
15275,6,17,5,30,3.63,220.93,0,2.425,519.17,30.71,431.87,33.81,90.07,0,51.3,0.38
15276,6,17,5,45,3.65,260.07,0,2.504,530.86,30.86,428.13,33.99,87.87,0,51.59,0.38
15279,6,17,6,30,3.69,132.97,0,2.734,551.31,30.1,432.53,33.78,91.6,0,51.31,0.38
15280,6,17,6,45,3.69,91.87,0,2.799,468.46,28.56,434.4,33.66,90.4,0,51.33,0.38
15282,6,17,7,15,3.67,0,88.07,2.785,376.88,23.91,442.4,33.17,4.33,0,50.54,0.38
15285,6,17,8,0,3.57,0,262.78,2.619,401.4,23.28,419.2,31.83,98.47,23.45,48.71,0.38
15286,6,17,8,15,3.51,0,290.55,2.521,416.44,23.31,426.87,31.67,101.93,14.95,48.42,0.38
15287,6,17,8,30,3.45,0,284.05,2.412,432.12,23.17,426.87,31.73,102.8,22.25,48.69,0.38
15291,6,17,9,30,3.21,0,304.01,1.971,462.58,25.73,437,31.16,169.13,24.26,47.63,0.38
15304,6,17,12,45,2.64,0,110.77,1.364,384.13,25.97,414.4,31.82,55,0,48.96,0.38
15305,6,17,13,0,2.6,0,83.13,1.345,375.15,25.97,409.47,32.1,55.4,0,49.47,0.38
15308,6,17,13,45,2.51,0,122.88,1.289,395.23,25.92,416.8,31.75,54.87,0,49,0.38
15310,6,17,14,15,2.43,0,120.61,1.239,390.43,25.88,419.4,31.56,54.33,0,48.96,0.38
15311,6,17,14,30,2.4,0,102.53,1.214,386.86,25.94,418.27,31.66,54.13,0,49.01,0.38
15322,6,17,17,15,2.28,175.88,0,1.11,370.32,26.5,439.53,32.37,147.93,0,50.07,0.38
15328,6,17,18,45,2.33,145.02,0,1.11,375.72,25.69,426.8,32.41,204.93,0,50.41,0.38
15330,6,17,19,15,2.34,143.33,0,1.091,421.29,27.63,415.2,32.32,205.2,0,50.31,0.38
15331,6,17,19,30,2.34,154.69,0,1.09,432.23,27.53,415.13,32.31,205.53,0,50.38,0.38
15332,6,17,19,45,2.35,182.58,0,1.09,432.19,27.33,414.8,32.35,204.67,0,50.55,0.38
15336,6,17,20,45,2.38,213.61,0,1.027,432.36,26.74,426,32.46,204.87,0,50.48,0.38
15337,6,17,21,0,2.39,204.19,0,1.001,429.88,26.59,425,32.56,204.2,0,50.65,0.38
15339,6,17,21,30,2.41,155.19,0,0.951,434,27.5,422.07,32.25,205.4,0,50.4,0.38
15340,6,17,21,45,2.41,208.35,0,0.947,422.22,27.13,424.2,32.53,201.8,0,50.46,0.38
15342,6,17,22,15,2.44,313.43,0,0.897,320.62,24.37,417.33,32.93,293,0,51.71,0.38
15356,6,18,1,45,2.89,431.95,0,1.374,508.45,30.88,441.47,34.19,154.33,0,51.68,0.38
15358,6,18,2,15,2.99,442.86,0,1.546,473.01,30.99,405,34.29,152,0,52.16,0.38
15393,6,18,11,0,3.13,0,261.53,1.883,475.57,26.89,380.27,31.35,75.13,7.47,48.52,0.38
15394,6,18,11,15,3.08,0,277.43,1.827,499.66,27.33,386.93,31.1,73.4,0.3,48.65,0.38
15395,6,18,11,30,3.02,0,210.17,1.779,488.67,27.99,376,31.65,63.33,0.08,49.14,0.38
15399,6,18,12,30,2.89,1.35,31.05,1.738,476.07,27.97,361.87,32.41,102.93,0,50.27,0.38
15404,6,18,13,45,2.79,59.28,0,1.632,501.81,27.93,397,32.73,162.47,0,50.65,0.38
15406,6,18,14,15,2.77,61.87,0,1.567,503.26,27.88,399.4,32.53,161.87,0,50.59,0.38
15408,6,18,14,45,2.75,64.62,0,1.511,504.55,27.85,397.67,32.64,124.2,0,50.41,0.38
15410,6,18,15,15,2.74,68.43,0,1.469,486.9,27.96,396,32.68,125.27,0,50.41,0.38
15416,6,18,16,45,2.74,202.79,0,1.44,427.15,26.39,395.87,32.64,163.4,0,50.72,0.38
15417,6,18,17,0,2.75,218.02,0,1.429,404.95,25.86,392.27,32.84,162.67,0,50.78,0.38
15421,6,18,18,0,2.8,301.99,0,1.352,412.37,25.95,388.2,33.05,311.27,0,51.95,0.38
15424,6,18,18,45,2.84,131.79,0,1.287,416.25,25.8,394.6,32.69,163.93,0,50.59,0.38
15426,6,18,19,15,2.84,129.63,0,1.227,435.65,25.83,394.53,32.73,163.93,0,50.61,0.38
15428,6,18,19,45,2.84,95.25,0,1.169,500.43,27.99,394.8,32.71,179.13,0,50.75,0.38
15430,6,18,20,15,2.83,125.39,0,1.106,526.33,27.93,395.2,32.67,178.47,0,50.86,0.38
15432,6,18,20,45,2.83,159.49,0,1.033,535.93,27.74,393.6,32.74,176.67,0,50.67,0.38
15442,6,18,23,15,2.46,195.41,0,0.88,446.25,26.65,362.33,32.39,95.07,0,50.03,0.38
15487,6,19,10,30,3.26,0,281.44,2.216,412.49,24.3,383,31.34,113.33,25.18,48.21,0.38
15491,6,19,11,30,3.03,13.31,165.94,1.927,392.71,24.39,372.13,31.88,123.27,0.09,49.4,0.38
15493,6,19,12,0,2.98,107.01,0,1.803,374.16,24.39,357.8,32.65,267.07,0,51.39,0.38
15494,6,19,12,15,2.98,109.51,0,1.746,371.52,24.34,356.4,32.73,266,0,51.45,0.38
15497,6,19,13,0,2.97,140.18,0,1.559,384.15,24.27,351.33,32.77,263.4,0,51.48,0.38
15502,6,19,14,15,2.96,85.27,0,1.304,555.67,29.92,403.13,32.82,103.67,0,50.59,0.38
