month,day,hour,min,i_uiip,i_f,i_uiipu,truth
1,1,0,0,196.56,253,261.93,0
1,1,1,30,160.81,242.73,325.67,0
1,1,1,45,159.33,240.4,350,0
1,1,2,0,151.02,237.93,366.07,0
1,1,2,15,140.03,235.93,366.27,0
1,1,3,15,129.39,231.47,365.2,0
1,1,4,15,147.58,258.73,358.87,0
1,1,5,0,128.3,256.53,356.13,0
1,1,8,0,180.4,261.2,114.6,0
1,1,8,30,211.47,228.07,93.73,0
1,1,9,30,238.06,239.53,101.47,0
1,1,11,15,259.91,253.93,3.47,0
1,1,15,0,197.23,238.8,105.27,0
1,1,15,15,185.06,240.8,105.2,0
1,1,15,30,196.2,237.47,102.27,0
1,1,18,15,183.59,242.2,105.73,0
1,1,19,30,185.65,273.8,94.33,0
1,1,22,15,191.61,249.07,318,0
1,1,23,30,147.63,238.93,366.73,0
1,2,1,45,108.25,226.87,359.4,0
1,2,2,0,114.32,242.4,357.2,0
1,2,3,0,123.81,242.4,356.13,0
1,2,4,0,117.47,237.67,336.8,0
1,2,4,15,123.3,249.33,238.67,0
1,2,4,45,104.56,265.73,177.6,0
1,2,11,30,252.22,239.4,3.8,0
1,2,12,0,237.16,260.53,3.53,0
1,2,12,30,226.57,263.13,3.47,0
1,2,13,0,210.21,258.47,3.6,0
1,2,14,45,206.39,266.27,107.87,0
1,2,16,45,179.25,264.2,138.07,0
1,2,17,45,183.56,241.87,316.13,0
1,2,18,15,202.51,235.73,315.93,0
1,2,19,15,187.56,238.47,318.6,0
1,2,19,30,178.72,236.8,316.93,0
1,2,21,0,191.49,276.13,357.53,0
1,2,21,30,185.35,285.53,354,0
1,2,21,45,177.34,288.33,355.67,0
1,2,22,15,183.85,282.73,354.13,0
1,2,22,45,157.68,277.87,361.27,0
1,2,23,0,162.17,276.8,373.27,0
1,3,2,30,175.44,239.13,338.93,0
1,3,4,15,192.51,231.2,360.87,0
1,3,5,15,158.64,238.6,355.6,0
1,3,7,30,220.49,255.87,3.53,0
1,3,10,45,271.83,258.33,3.73,0
1,3,15,15,184.34,261.6,140.2,0
1,3,15,45,176.72,261.33,138.4,0
1,3,17,45,167.5,259.13,285.27,0
1,3,18,0,177.5,256.87,287.67,0
1,3,18,15,184.95,261.33,286.13,0
1,3,21,45,168.37,253.47,352.47,0
1,3,22,30,185.04,247.73,347.53,0
1,4,1,0,168.96,235.8,366.33,0
1,4,2,30,152.41,242.2,358.27,0
1,4,3,15,115.53,241.33,359.4,0
1,4,3,30,115,236.07,359.87,0
1,4,4,0,129.13,258.13,356,0
1,4,4,15,130.52,261.2,362,0
1,4,6,15,164.43,259,367.33,0
1,4,6,45,178.59,260.67,180.93,0
1,4,8,0,229.35,243.2,87.87,0
1,4,9,15,287.36,249.27,3.33,0
1,4,9,45,437.68500000000006,374.205,5.1,1
1,4,15,15,202.82,256.8,102.8,0
1,4,18,30,163.79,253.27,140.87,0
1,4,20,0,188.84,258.27,282.6,0
1,4,20,15,191.73,258.67,285.33,0
1,4,20,45,182.72,254.6,284.53,0
1,4,22,45,179.37,243.67,375.87,0
1,4,23,45,154.63,236.47,372.73,0
1,5,0,0,201.25,236.4,371.4,0
1,5,1,15,209.15,237.2,368,0
1,5,1,30,210.16,236.2,366.73,0
1,5,3,0,159.33,234,350.87,0
1,5,4,30,170.16,251.8,363.87,0
1,5,4,45,178.8,244.2,360.27,0
1,5,6,30,177.69,271.87,347.27,0
1,5,7,45,230.73,278.8,2.53,0
1,5,9,45,249.36,249.4,2.73,0
1,5,12,0,224.43,234.27,122.4,0
1,5,13,30,210.58,252.27,131.33,0
1,5,13,45,195.96,249.27,137.53,0
1,5,14,30,201.73,251.27,139.4,0
1,5,15,15,175.77,246.87,101.93,0
1,5,16,0,184.23,251.93,100.6,0
1,5,16,15,188.37,248.87,102,0
1,5,18,15,160.5,245.67,299.53,0
1,5,19,0,172.84,246.67,317.33,0
1,5,20,30,161.36,247,316.07,0
1,5,21,0,169.69,246.4,314.13,0
1,5,22,0,169.59,238.33,358.53,0
1,5,22,45,158.35,236.53,376.8,0
1,5,23,30,140.28,230.4,373.27,0
1,6,0,0,140.24,226.2,371.87,0
1,6,1,0,142.34,243,366.6,0
1,6,1,45,133.25,239.07,364.4,0
1,6,3,15,125.29,234.13,359.53,0
1,6,3,30,117.13,238.4,361.67,0
1,6,4,15,134.06,242.47,357.8,0
1,6,7,0,127.54,262.47,152.07,0
1,6,8,30,217.65,266.53,47.73,0
1,6,9,15,246.95,266.6,3.27,0
1,6,11,45,244.26,232.13,106.2,0
1,6,12,0,225.74,234.4,107.07,0
1,6,14,45,184.45,261.27,101.87,0
1,6,18,30,179.63,236.07,286,0
1,6,20,15,178.49,240.4,306.2,0
1,6,22,45,171.96,268.47,374.27,0
1,6,23,15,157.48,265.2,372.73,0
1,7,0,15,223.25,259.67,370.6,0
1,7,0,45,186.71,259.33,365.93,0
1,7,2,30,183.2,255.53,364.07,0
1,7,5,30,171.12,249.27,127,0
1,7,6,15,204.39,239.87,97.2,0
1,7,10,15,273.12,254,3.6,0
1,7,10,45,279.99,251,3.8,0
1,7,12,0,230.72,250.93,3.67,0
1,7,14,15,221.09,259.07,95.47,0
1,7,19,0,186.17,250.33,352.93,0
1,7,19,15,191.01,242.4,352.93,0
1,7,23,15,153.38,235.8,372.73,0
1,8,0,15,135.89,223.6,367.07,0
1,8,1,45,126.46,262.8,360,0
1,8,2,0,120.99,263.8,363.8,0
1,8,3,45,116.59,258.87,357.87,0
1,8,4,15,164.54,258.07,348.2,0
1,8,5,0,127.63,269.2,192.6,0
1,8,7,0,157.63,253.33,132.8,0
1,8,8,0,261.55,254,3.33,0
1,8,8,45,286.24,255.8,3.6,0
1,8,9,45,321.93,261.07,3.53,0
1,8,10,30,304.1,256.93,3.6,0
1,8,14,15,219.21,244.13,140.47,0
1,8,14,30,217.04,242.33,139.53,0
1,8,17,0,196.01,249.4,333.73,0
1,8,17,15,203.88,251.33,342,0
1,9,1,0,127.01,254.6,361.07,0
1,9,1,30,125.1,255.07,364.53,0
1,9,3,15,120.05,248.53,354.73,0
1,9,5,0,115.31,248,194.33,0
1,9,5,30,123.56,250.8,193.47,0
1,9,6,30,119.45,251.6,140.73,0
1,9,7,30,169.46,253.53,133.4,0
1,9,10,45,269.77,258.07,3.33,0
1,9,13,30,206.89,259.8,111.27,0
1,9,13,45,212.67,268.27,104.93,0
1,9,14,30,200.78,266.93,70.67,0
1,9,15,30,173.66,266.67,188.07,0
1,9,17,15,177.51,262.2,310.73,0
1,9,18,30,191.85,254.8,381.07,0
1,9,19,0,175.58,256.73,379.6,0
1,9,22,30,175.94,244.8,344.4,0
1,9,23,0,159.07,259.73,372.13,0
1,10,2,0,163.46,255.33,363.33,0
1,10,5,30,175.39,256.67,363.27,0
1,10,8,15,292.53,270.6,12.33,0
1,10,8,45,258.8,268.27,2.07,0
1,10,10,15,266.11,268.47,44.73,0
1,10,10,30,279.94,273,44.67,0
1,10,10,45,248.56,268,44.27,0
1,10,12,15,252.23,252.53,94.93,0
1,10,13,15,227.09,253.13,95.47,0
1,10,13,45,217.74,248.87,97,0
1,10,15,0,173.98,212.13,97.47,0
1,10,15,45,192.24,210.07,196.2,0
1,10,17,45,182.67,271.13,134.67,0
1,10,18,30,195.2,270.93,136.8,0
1,10,19,45,199.16,253.47,2.4,0
1,10,22,45,163.94,238.27,130.8,0
1,10,23,45,145.42,236.87,109.53,0
1,11,0,30,173.25,257.33,108.27,0
1,11,4,45,139.52,238.87,140.33,0
1,11,5,0,135.58,243.93,148.87,0
1,11,8,15,216.81,261.6,97.07,0
1,11,9,30,332.73,404.805,5.595,1
1,11,10,0,228.55,270.87,3.73,0
1,11,10,15,231.87,267.4,3.4,0
1,11,11,45,227.62,265.8,3.2,0
1,11,14,0,213.12,239.53,80.2,0
1,11,14,30,190.61,229.53,106.6,0
1,11,16,15,206.03,240.4,174.87,0
1,11,18,30,167.65,242.87,206.93,0
1,11,22,15,195.72,230.4,69.93,0
1,11,22,30,187.34,232.87,3.53,0
1,12,1,0,237.19,275.73,3.27,0
1,12,4,0,224.09,245.2,92.6,0
1,12,5,0,216.03,243.13,92.47,0
1,12,5,15,219.15,250.87,90.13,0
1,12,5,30,201.17,267.73,9.33,0
1,12,5,45,194.54,269.07,3.53,0
1,12,6,15,236.99,277.27,54.4,0
1,12,6,45,234.08,271.13,190,0
1,12,9,0,259.81,251.8,212.67,0
1,12,10,30,270.1,261.8,342.07,0
1,12,11,0,236.49,232.2,372.73,0
1,12,11,15,225.57,235.47,365.4,0
1,12,11,30,225.09,259.73,337.8,0
1,12,12,45,216.26,256.07,341.73,0
1,12,13,15,228.95,263.13,347.73,0
1,12,13,30,210.46,264.2,354.73,0
1,12,16,15,172.56,240.07,259.2,0
1,12,17,15,178.3,271.73,267.07,0
1,12,17,30,174.3,276.27,270.93,0
1,12,18,45,174.64,294.53,315.13,0
1,12,20,15,191.86,240.87,387.33,0
1,12,21,0,196.36,211.27,295.13,0
1,12,23,0,266.42,248.4,67.33,0
1,13,2,30,432.17,178.13,3.33,0
1,13,3,45,424.21,219.73,3.4,0
1,13,5,0,410.05,269.2,3.4,0
1,13,5,30,400.67,246.73,91.53,0
1,13,7,15,133.13,281.33,346.6,0
1,13,7,30,138.17,293.13,343.53,0
1,13,9,15,212.34,389.29499999999996,551.8050000000001,1
1,13,11,0,172.62,263.27,341.73,0
1,13,12,30,93.17,270.4,397.93,0
1,13,13,30,89.05,271.53,399.87,0
1,13,15,0,144.27,244.87,396.47,0
1,13,15,45,133.22,246.87,396.87,0
1,13,17,45,138.76,248.87,396.13,0
1,13,23,15,377.56,265.87,382,0
1,13,23,30,386.95,266.27,307.53,0
1,13,23,45,384.67,267.2,269.67,0
1,14,1,0,394.62,270.87,242.87,0
1,14,1,45,410.93,265.2,238.6,0
1,14,2,45,391.15,303,265.27,0
1,14,4,30,401.45,251.73,268.47,0
1,14,6,0,212.67,247.4,382.73,0
1,14,6,30,181.43,254.87,386.67,0
1,14,10,45,81.42,265.73,383.4,0
1,14,12,0,89.42,263.47,384.13,0
1,14,13,15,90.53,264,382.47,0
1,14,13,30,88.62,261,383.6,0
1,14,14,45,73.81,243.67,383.53,0
1,14,15,0,72.29,242.53,383.07,0
1,14,16,0,71.74,236.73,380.67,0
1,14,18,0,85.4,240.93,382.13,0
1,14,19,30,77.58,254.87,381.07,0
1,14,20,0,81.89,260.2,379.67,0
1,14,21,45,177.12,256.2,373.67,0
1,15,2,15,355.96,262.47,284.2,0
1,15,4,0,391.46,264.53,275.07,0
1,15,6,15,148.68,251.4,211.73,0
1,15,6,45,138.86,229.47,127.13,0
1,15,7,45,119.79,233.2,103.6,0
1,15,9,30,135.2,241.47,97.47,0
1,15,11,0,140.56,238.27,98.33,0
1,15,11,30,118,242.53,107.2,0
1,15,11,45,131.81,252.33,121.53,0
1,15,12,0,134.57,247.87,118.67,0
1,15,12,30,120.2,248.73,124.87,0
1,15,13,15,105.91,246.8,160.4,0
1,15,18,30,138.37,234.13,358,0
1,15,18,45,142.12,236.53,359.2,0
1,15,19,45,181.06,235.33,356.73,0
1,15,21,30,0,233.13,352.47,0
1,16,0,30,0,270.87,313.47,0
1,16,0,45,0,269.53,312.47,0
1,16,1,15,0,267.07,315.13,0
1,16,3,15,0,243.2,213.4,0
1,16,4,0,0,243.27,201.73,0
1,16,5,45,119.23,238.53,191.93,0
1,16,6,0,121.86,237.73,192.2,0
1,16,6,15,127.24,236.87,194.27,0
1,16,6,30,118.35,238,194.67,0
1,16,8,30,85.99,235,194,0
1,16,9,30,153.47,253.67,144.33,0
1,16,10,15,161.93,261.07,145.6,0
1,16,12,0,100.66,249.2,124.73,0
1,16,12,30,93.72,248.67,127.07,0
1,16,12,45,90.1,246.4,153.4,0
1,16,15,45,83.11,246,342.53,0
1,16,19,30,185.2,245.33,341.87,0
1,16,20,0,185.63,250,341.07,0
1,17,4,0,397.24,237.2,324.13,0
1,17,4,15,396.69,240,281.13,0
1,17,5,30,305.49,222.53,188.47,0
1,17,5,45,207.52,222.27,188.07,0
1,17,7,15,148.76,262,147.93,0
1,17,8,30,147.77,243.13,175,0
1,17,8,45,147.89,244.47,175,0
1,17,10,0,113.89,249,175,0
1,17,10,45,103.1,246,175,0
1,17,11,0,102.15,247.27,175,0
1,17,12,30,100.81,257.87,175,0
1,17,13,0,98.82,248.93,149.53,0
1,17,13,15,99.23,252.8,98.13,0
1,17,13,45,83.6,238.87,107.67,0
1,17,14,30,118.91,226.87,290.2,0
1,17,14,45,110.02,226,319.73,0
1,17,16,0,123.8,245.47,370.6,0
1,17,16,30,141.08,247.67,368.53,0
1,17,18,0,137.71,249.53,368.27,0
1,17,18,30,148.86,249,367.87,0
1,17,19,0,145.8,248.53,367.33,0
1,17,20,15,180.75,249.4,368.47,0
1,17,21,15,179.4,245.13,365.33,0
1,17,22,15,163.87,250.07,360.53,0
1,18,0,30,353.61,261.33,152.93,0
