i_f,p_f,truth
253,32.12,0
242.73,32.93,0
240.4,33.14,0
237.93,33.32,0
235.93,33.48,0
231.47,33.89,0
258.73,34.15,0
256.53,34.48,0
261.2,33.12,0
228.07,32.35,0
239.53,31.57,0
253.93,30.39,0
238.8,31.56,0
240.8,31.43,0
237.47,31.69,0
242.2,31.44,0
273.8,31.5,0
249.07,32.05,0
238.93,32.81,0
226.87,33.95,0
242.4,34.07,0
242.4,34.09,0
237.67,34.44,0
249.33,34.18,0
265.73,33.78,0
239.4,30.4,0
260.53,30.54,0
263.13,30.33,0
258.47,30.7,0
266.27,31.41,0
264.2,31.48,0
241.87,31.39,0
235.73,31.81,0
238.47,31.53,0
236.8,31.5,0
276.13,32.26,0
285.53,32.44,0
288.33,32.19,0
282.73,32.56,0
277.87,32.94,0
276.8,32.99,0
239.13,33.24,0
231.2,33.91,0
238.6,34.16,0
255.87,31.86,0
258.33,30.8,0
261.6,31.41,0
261.33,31.46,0
259.13,31.6,0
256.87,31.77,0
261.33,31.4,0
253.47,32.02,0
247.73,32.48,0
235.8,33.54,0
242.2,34.02,0
241.33,34.07,0
236.07,34.46,0
258.13,34.59,0
261.2,34.35,0
259,33.51,0
260.67,33.27,0
243.2,31.78,0
249.27,30.69,0
249.47,30.65,0
256.8,31.35,0
253.27,31.55,0
258.27,31.13,0
258.67,31.1,0
254.6,31.39,0
243.67,32.41,0
236.47,32.9,0
236.4,32.97,0
237.2,32.94,0
236.2,33.05,0
234,33.22,0
251.8,33.83,0
244.2,34.39,0
271.87,33.29,0
278.8,31.68,0
249.4,30.25,0
234.27,31.37,0
252.27,30.93,0
249.27,31.14,0
251.27,30.98,0
246.87,31.25,0
251.93,30.93,0
248.87,31.12,0
245.67,31.41,0
246.67,31.33,0
247,31.34,0
246.4,31.39,0
238.33,32.01,0
236.53,32.18,0
230.4,32.63,0
226.2,32.97,0
243,33.57,0
239.07,33.88,0
234.13,34.25,0
238.4,33.95,0
242.47,34.58,0
262.47,32.93,0
266.53,31.65,0
266.6,30.59,0
232.13,30.54,0
234.4,30.42,0
261.27,31.46,0
236.07,31.67,0
240.4,31.51,0
268.47,32.91,0
265.2,33.12,0
259.67,33.51,0
259.33,33.52,0
255.53,33.73,0
249.27,33.07,0
239.87,32.92,0
254,30.27,0
251,30.44,0
250.93,30.46,0
259.07,30.72,0
250.33,31.41,0
242.4,31.67,0
235.8,32.6,0
223.6,33.53,0
262.8,34.31,0
263.8,34.23,0
258.87,34.56,0
258.07,34.6,0
269.2,33.69,0
253.33,33.21,0
254,31.35,0
255.8,30.33,0
261.07,29.91,0
256.93,30.19,0
244.13,30.77,0
242.33,30.88,0
249.4,31.63,0
251.33,31.48,0
254.6,34.03,0
255.07,34.03,0
248.53,34.54,0
248,33.67,0
250.8,33.45,0
251.6,33.36,0
253.53,33.21,0
258.07,30.15,0
259.8,31.39,0
268.27,31.16,0
266.93,31.28,0
266.67,31.76,0
262.2,31.73,0
254.8,31.69,0
256.73,31.54,0
244.8,32.54,0
259.73,33.18,0
255.33,33.54,0
256.67,33.51,0
270.6,31.78,0
268.27,31.52,0
268.47,30.93,0
273,30.65,0
268,30.82,0
252.53,31.26,0
253.13,31.04,0
248.87,31.1,0
212.13,31.14,0
210.07,31.37,0
271.13,31.35,0
270.93,31.3,0
253.47,29.99,0
238.27,31.27,0
236.87,31.46,0
257.33,31.74,0
238.87,32.36,0
243.93,32.03,0
261.6,30.67,0
269.87,30.05,0
270.87,29.93,0
267.4,30.18,0
265.8,29.8,0
239.53,29.78,0
229.53,29.93,0
240.4,30.46,0
242.87,29.99,0
230.4,30.11,0
232.87,29.99,0
275.73,30.16,0
245.2,30.2,0
243.13,30.39,0
250.87,30.4,0
267.73,30.3,0
269.07,30.08,0
277.27,29.54,0
271.13,29.95,0
251.8,29.69,0
261.8,27.81,0
232.2,30.32,0
235.47,31.52,0
259.73,30.03,0
256.07,29.76,0
263.13,29.23,0
264.2,29.13,0
240.07,32.95,0
271.73,32.27,0
276.27,31.89,0
294.53,29.44,0
240.87,30.8,0
211.27,33.01,0
248.4,33.03,0
178.13,36.16,0
219.73,33.29,0
269.2,31.31,0
246.73,33.03,0
281.33,28.75,0
293.13,29,0
259.53,33.05,0
263.27,33.56,0
270.4,29.97,0
271.53,29.81,0
244.87,30.1,0
246.87,29.99,0
248.87,30.03,0
265.87,31.45,0
266.27,31.42,0
267.2,31.36,0
270.87,31.03,0
265.2,31.42,0
303,32.12,0
251.73,31.5,0
247.4,31.44,0
254.87,31.22,0
265.73,31.44,0
263.47,31.47,0
264,31.36,0
261,31.61,0
243.67,31.24,0
242.53,31.36,0
236.73,31.82,0
240.93,31.65,0
254.87,31.95,0
260.2,31.9,0
256.2,32.22,0
262.47,34.07,0
264.53,33.78,0
251.4,33.65,0
229.47,33.43,0
233.2,32.52,0
241.47,30.95,0
238.27,30.69,0
242.53,31.03,0
252.33,30.88,0
247.87,31.12,0
248.73,31.13,0
246.8,31.25,0
234.13,32.2,0
236.53,32.07,0
235.33,32.16,0
233.13,32.35,0
270.87,33.83,0
269.53,33.95,0
267.07,34.1,0
243.2,34.04,0
243.27,34.1,0
238.53,34.29,0
237.73,34.14,0
236.87,33.92,0
238,33.59,0
235,33.78,0
253.67,31.42,0
261.07,31.48,0
249.2,31.7,0
248.67,31.75,0
246.4,31.9,0
246,32.56,0
245.33,32.64,0
250,32.61,0
237.2,34.46,0
240,34.29,0
222.53,33.73,0
222.27,33.52,0
262,30.8,0
243.13,30.46,0
244.47,30.35,0
249,30,0
246,30.28,0
247.27,30.22,0
257.87,30.23,0
248.93,30.01,0
252.8,29.71,0
238.87,30.71,0
226.87,31.62,0
226,31.69,0
245.47,32.12,0
247.67,32,0
249.53,31.82,0
249,31.82,0
248.53,31.91,0
249.4,31.82,0
245.13,32.14,0
250.07,32.6,0
261.33,32.92,0
250.8,32.81,0
248.07,33.1,0
253.47,33.12,0
255.67,33.33,0
233.67,32.42,0
451.4,33.08,0
125.13,31.16,0
129.93,30.48,0
124.07,30.18,0
133.93,29.9,0
121.47,30.88,0
119,31.02,0
215.53,31.02,0
213.67,31.15,0
215.07,31.14,0
218.2,31,0
217.33,31.07,0
218.07,31.03,0
262.8,31.25,0
237,32.65,0
240.2,32.98,0
242.33,32.86,0
244.53,32.35,0
244.53,32.22,0
303.67,32.56,0
402.53,33.06,0
251.8,32.51,0
252.6,32.08,0
264.13,31.97,0
259.93,32.24,0
259.6,32.23,0
262.73,32.27,0
271.87,32.1,0
269.33,31.95,0
