n_px,ce_px,cs_px,truth
2.07,247.15,0,0
2.27,361.25,0,0
2.31,412.33,0,0
2.37,419.17,0,0
2.42,432.61,0,0
2.63,428.91,0,0
2.85,474.36,0,0
3.03,460.56,0,0
3.49,0.77,21.71,0
3.45,0,177.52,0
3.3,0,304.39,0
2.86,0,384.41,0
2.18,0,95.23,0
2.16,0,78.85,0
2.15,0,48.95,0
1.97,0,72.33,0
1.9,0,76.48,0
1.95,256.27,0,0
2.15,361.35,0,0
2.62,454.19,0,0
2.68,449.75,0,0
2.92,446.01,0,0
3.15,435.04,0,0
3.21,344.81,0,0
3.29,296.04,0,0
2.62,0,377.07,0
2.5,0,333.73,0
2.39,0,348.28,0
2.29,0,292.15,0
2.03,0,98.57,0
1.91,2.31,43.35,0
1.9,73.97,0,0
1.91,108.9,0,0
1.93,67.56,0,0
1.93,59.07,0,0
1.97,218.11,0,0
2.03,291.91,0,0
2.06,278.25,0,0
2.13,318.29,0,0
2.21,334.49,0,0
2.25,331.45,0,0
2.88,288.65,0,0
3.17,329.61,0,0
3.35,355.47,0,0
3.42,0,281.05,0
2.69,0,336.73,0
1.95,0,92.55,0
1.91,2.65,26.56,0
1.91,88.5,0,0
1.91,46.26,0,0
1.91,53.48,0,0
1.92,262.25,0,0
2,308.73,0,0
2.49,396.51,0,0
2.81,430.85,0,0
2.97,436.79,0,0
3.03,432.76,0,0
3.14,463.05,0,0
3.2,411.51,0,0
3.57,239.83,0,0
3.61,18.23,2.13,0
3.49,0,289.59,0
3.22,0,393.67,0
3.09,0,391.21,0
2.12,0,106.87,0
1.86,0,91.58,0
1.79,3.76,16.55,0
1.78,0.43,25.5,0
1.77,28.07,2.17,0
1.87,304.83,0,0
2.04,382.43,0,0
2.08,373.01,0,0
2.32,362.45,0,0
2.37,360.78,0,0
2.64,339.7,0,0
2.91,370.66,0,0
2.96,387.21,0,0
3.23,180.8,0,0
3.22,0,286.75,0
2.75,0,400.8,0
2.25,0,192.23,0
2.04,0,193.93,0
2,0,166.61,0
1.91,0,134.21,0
1.83,0,127.61,0
1.75,0,135.03,0
1.73,0,148.23,0
1.66,96.87,0,0
1.7,114.2,0,0
1.75,69.59,0,0
1.77,167.72,0,0
1.85,241.51,0,0
1.94,284.57,0,0
2.05,339.3,0,0
2.13,398.88,0,0
2.34,451.2,0,0
2.5,431.81,0,0
2.83,441.5,0,0
2.89,423.89,0,0
3.06,466.01,0,0
3.41,153.31,0,0
3.33,0,244.07,0
3.17,0,376.67,0
2.45,0,306.08,0
2.39,0,290.85,0
2.04,0,99.44,0
1.89,97.33,0,0
1.92,80.73,0,0
2.16,355.33,0,0
2.25,374.62,0,0
2.44,383.19,0,0
2.54,434.46,0,0
2.88,380.37,0,0
3.33,137.05,0,0
3.34,7.09,11.76,0
2.58,0,373.17,0
2.46,0,347.12,0
2.18,0,307.01,0
1.83,0,192.08,0
1.73,112.18,0,0
1.74,115.07,0,0
