n_p,i_uiip,p_uiip,truth
0.109,196.56,18.5,0
0.109,160.81,18.66,0
0.11,159.33,18.5,0
0.11,151.02,18.22,0
0.11,140.03,18.18,0
0.109,129.39,18.15,0
0.109,147.58,18.22,0
0.11,128.3,18.16,0
0.108,180.4,20.57,0
0.109,211.47,20.47,0
0.108,238.06,20.65,0
0.107,259.91,20.72,0
0.109,197.23,20.73,0
0.109,185.06,20.53,0
0.108,196.2,20.86,0
0.109,183.59,20.64,0
0.11,185.65,21.5,0
0.108,191.61,22.11,0
0.109,147.63,18.44,0
0.105,108.25,18.16,0
0.107,114.32,18.16,0
0.105,123.81,18.16,0
0.103,117.47,17.91,0
0.103,123.3,18.17,0
0.109,104.56,18.12,0
0.101,252.22,20.75,0
0.101,237.16,20.73,0
0.103,226.57,20.76,0
0.101,210.21,20.63,0
0.101,206.39,20.76,0
0.1,179.25,20.67,0
0.1,183.56,20.59,0
0.101,202.51,21.62,0
0.104,187.56,21.49,0
0.103,178.72,21.73,0
0.105,191.49,21.54,0
0.103,185.35,21.89,0
0.106,177.34,21.45,0
0.103,183.85,21.67,0
0.103,157.68,18.95,0
0.103,162.17,18.07,0
0.104,175.44,18.05,0
0.101,192.51,18.19,0
0.101,158.64,18.06,0
0.101,220.49,21.75,0
0.1,271.83,22,0
0.1,184.34,21.13,0
0.1,176.72,20.1,0
0.1,167.5,20.26,0
0.101,177.5,20.01,0
0.101,184.95,20.14,0
0.101,168.37,20.14,0
0.1,185.04,20.23,0
0.1,168.96,16.56,0
0.1,152.41,16.7,0
0.1,115.53,16.93,0
0.101,115,17.11,0
0.101,129.13,16.95,0
0.102,130.52,16.65,0
0.101,164.43,20.62,0
0.1,178.59,20.71,0
0.1,229.35,19.65,0
0.1,287.36,21.2,0
0.1,291.79,21.25,0
0.103,202.82,20.82,0
0.109,163.79,19.88,0
0.107,188.84,19.57,0
0.107,191.73,19.62,0
0.105,182.72,19.74,0
0.105,179.37,20.44,0
0.104,154.63,16.48,0
0.103,201.25,15.9,0
0.103,209.15,16.56,0
0.102,210.16,16.63,0
0.104,159.33,15.59,0
0.104,170.16,16.59,0
0.1,178.8,16.56,0
0.102,177.69,20.75,0
0.1,230.73,20.07,0
0.1,249.36,21.24,0
0.101,224.43,21.24,0
0.101,210.58,20.93,0
0.1,195.96,21.26,0
0.1,201.73,20.59,0
0.1,175.77,20.64,0
0.1,184.23,20.59,0
0.1,188.37,20.8,0
0.1,160.5,20.75,0
0.1,172.84,20.76,0
0.1,161.36,20.81,0
0.1,169.69,20.7,0
0.1,169.59,20.69,0
0.101,158.35,20.17,0
0.1,140.28,16.59,0
0.1,140.24,16.61,0
0.1,142.34,16.55,0
0.1,133.25,16.56,0
0.1,125.29,16.7,0
0.1,117.13,17.08,0
0.1,134.06,16.45,0
0.1,127.54,20.63,0
0.1,217.65,20.97,0
0.1,246.95,21.62,0
0.1,244.26,21.73,0
0.1,225.74,21.59,0
0.1,184.45,20.35,0
0.1,179.63,20.14,0
0.1,178.49,20.16,0
0.1,171.96,20.05,0
0.1,157.48,16.61,0
0.1,223.25,16.47,0
0.1,186.71,16.58,0
0.1,183.2,16.44,0
0.1,171.12,17.01,0
0.1,204.39,20.11,0
0.1,273.12,21.67,0
0.1,279.99,22.03,0
0.1,230.72,21.18,0
0.1,221.09,20.48,0
0.1,186.17,20.46,0
0.1,191.01,20.66,0
0.1,153.38,16.58,0
0.1,135.89,16.54,0
0.1,126.46,16.55,0
0.1,120.99,16.6,0
0.1,116.59,17.09,0
0.1,164.54,16.61,0
0.1,127.63,16.6,0
0.1,157.63,20.73,0
0.1,261.55,21.67,0
0.1,286.24,22.18,0
0.1,321.93,21.39,0
0.1,304.1,22.24,0
0.1,219.21,20.68,0
0.1,217.04,20.59,0
0.1,196.01,20.54,0
0.1,203.88,20.15,0
0.1,127.01,16.64,0
0.1,125.1,16.59,0
0.1,120.05,16.78,0
0.1,115.31,17.16,0
0.1,123.56,16.81,0
0.1,119.45,20.55,0
0.1,169.46,20.33,0
0.1,269.77,21.41,0
0.1,206.89,21.43,0
0.1,212.67,21.14,0
0.1,200.78,20.77,0
0.1,173.66,20.83,0
0.1,177.51,20.22,0
0.1,191.85,20.73,0
0.1,175.58,20.79,0
0.1,175.94,20,0
0.1,159.07,16.56,0
0.1,163.46,16.54,0
0.1,175.39,16.59,0
0.1,292.53,20.95,0
0.1,258.8,20.47,0
0.1,266.11,20.5,0
0.1,279.94,20.97,0
0.1,248.56,21.2,0
0.1,252.23,21.19,0
0.1,227.09,21.3,0
0.1,217.74,21.27,0
0.1,173.98,21.33,0
0.1,192.24,21.23,0
0.1,182.67,21.22,0
0.1,195.2,20.75,0
0.1,199.16,20.66,0
0.1,163.94,20.7,0
0.1,145.42,19.09,0
0.1,173.25,19.21,0
0.1,139.52,19.22,0
0.1,135.58,19.09,0
0.1,216.81,21.14,0
0.1,221.82,20.9,0
0.1,228.55,20.3,0
0.1,231.87,20.12,0
0.1,227.62,20.31,0
0.1,213.12,20.71,0
0.1,190.61,20.55,0
0.1,206.03,20.46,0
0.1,167.65,20.81,0
0.1,195.72,20.73,0
0.1,187.34,20.56,0
0.1,237.19,17.84,0
0.1,224.09,18.49,0
0.1,216.03,18.49,0
0.1,219.15,18.76,0
0.1,201.17,18.57,0
0.1,194.54,18.95,0
0.1,236.99,19.14,0
0.1,234.08,19.11,0
0.1,259.81,21.58,0
0.1,270.1,21.15,0
0.1,236.49,21.19,0
0.1,225.57,21.17,0
0.099,225.09,21.15,0
-0.009,216.26,21.14,0
-0.007,228.95,21.1,0
-0.003,210.46,20.67,0
-0.001,172.56,21.21,0
-0.001,178.3,21.14,0
-0.001,174.3,21.04,0
0,174.64,20.98,0
-0.003,191.86,20.56,0
-0.001,196.36,20.64,0
0.001,266.42,21.14,0
1.124,432.17,27.9,0
1.557,424.21,28.61,0
2.004,410.05,28.73,0
2.182,400.67,27.46,0
2.112,133.13,20.14,0
2.082,138.17,20.22,0
1.84,141.56,20.27,0
1.577,172.62,20.16,0
1.365,93.17,19.76,0
1.22,89.05,19.78,0
1.074,144.27,20.56,0
1.031,133.22,20.49,0
0.915,138.76,20.71,0
0.672,377.56,25.69,0
0.745,386.95,25.68,0
0.81,384.67,25.84,0
1.12,394.62,25.71,0
1.313,410.93,25.78,0
1.574,391.15,25.78,0
2.044,401.45,25.67,0
2.36,212.67,20.57,0
2.36,181.43,20.65,0
1.703,81.42,18.96,0
1.486,89.42,19.03,0
1.281,90.53,18.48,0
1.237,88.62,18.56,0
1.035,73.81,19.58,0
1.002,72.29,19.84,0
0.855,71.74,19.98,0
0.589,85.4,19.62,0
0.383,77.58,19.76,0
0.315,81.89,19.63,0
0.14,177.12,19.49,0
1.203,355.96,26.71,0
1.819,391.46,28.71,0
2.42,148.68,19.64,0
2.42,138.86,19.46,0
2.354,119.79,19.97,0
2.066,135.2,19.67,0
