i_uiip,i_f,i_uiipu,truth
196.56,253,261.93,0
160.81,242.73,325.67,0
159.33,240.4,350,0
151.02,237.93,366.07,0
140.03,235.93,366.27,0
129.39,231.47,365.2,0
147.58,258.73,358.87,0
128.3,256.53,356.13,0
180.4,261.2,114.6,0
211.47,228.07,93.73,0
238.06,239.53,101.47,0
259.91,253.93,3.47,0
197.23,238.8,105.27,0
185.06,240.8,105.2,0
196.2,237.47,102.27,0
183.59,242.2,105.73,0
185.65,273.8,94.33,0
191.61,249.07,318,0
147.63,238.93,366.73,0
108.25,226.87,359.4,0
114.32,242.4,357.2,0
123.81,242.4,356.13,0
117.47,237.67,336.8,0
123.3,249.33,238.67,0
104.56,265.73,177.6,0
252.22,239.4,3.8,0
237.16,260.53,3.53,0
226.57,263.13,3.47,0
210.21,258.47,3.6,0
206.39,266.27,107.87,0
179.25,264.2,138.07,0
183.56,241.87,316.13,0
202.51,235.73,315.93,0
187.56,238.47,318.6,0
178.72,236.8,316.93,0
191.49,276.13,357.53,0
185.35,285.53,354,0
177.34,288.33,355.67,0
183.85,282.73,354.13,0
157.68,277.87,361.27,0
162.17,276.8,373.27,0
175.44,239.13,338.93,0
192.51,231.2,360.87,0
158.64,238.6,355.6,0
220.49,255.87,3.53,0
271.83,258.33,3.73,0
184.34,261.6,140.2,0
176.72,261.33,138.4,0
167.5,259.13,285.27,0
177.5,256.87,287.67,0
184.95,261.33,286.13,0
168.37,253.47,352.47,0
185.04,247.73,347.53,0
168.96,235.8,366.33,0
152.41,242.2,358.27,0
115.53,241.33,359.4,0
115,236.07,359.87,0
129.13,258.13,356,0
130.52,261.2,362,0
164.43,259,367.33,0
178.59,260.67,180.93,0
229.35,243.2,87.87,0
287.36,249.27,3.33,0
291.79,249.47,3.4,0
202.82,256.8,102.8,0
163.79,253.27,140.87,0
188.84,258.27,282.6,0
191.73,258.67,285.33,0
182.72,254.6,284.53,0
179.37,243.67,375.87,0
154.63,236.47,372.73,0
201.25,236.4,371.4,0
209.15,237.2,368,0
210.16,236.2,366.73,0
159.33,234,350.87,0
170.16,251.8,363.87,0
178.8,244.2,360.27,0
177.69,271.87,347.27,0
230.73,278.8,2.53,0
249.36,249.4,2.73,0
224.43,234.27,122.4,0
210.58,252.27,131.33,0
195.96,249.27,137.53,0
201.73,251.27,139.4,0
175.77,246.87,101.93,0
184.23,251.93,100.6,0
188.37,248.87,102,0
160.5,245.67,299.53,0
172.84,246.67,317.33,0
161.36,247,316.07,0
169.69,246.4,314.13,0
169.59,238.33,358.53,0
158.35,236.53,376.8,0
140.28,230.4,373.27,0
140.24,226.2,371.87,0
142.34,243,366.6,0
133.25,239.07,364.4,0
125.29,234.13,359.53,0
117.13,238.4,361.67,0
134.06,242.47,357.8,0
127.54,262.47,152.07,0
217.65,266.53,47.73,0
246.95,266.6,3.27,0
244.26,232.13,106.2,0
225.74,234.4,107.07,0
184.45,261.27,101.87,0
179.63,236.07,286,0
178.49,240.4,306.2,0
171.96,268.47,374.27,0
157.48,265.2,372.73,0
223.25,259.67,370.6,0
186.71,259.33,365.93,0
183.2,255.53,364.07,0
171.12,249.27,127,0
204.39,239.87,97.2,0
273.12,254,3.6,0
279.99,251,3.8,0
230.72,250.93,3.67,0
221.09,259.07,95.47,0
186.17,250.33,352.93,0
191.01,242.4,352.93,0
153.38,235.8,372.73,0
135.89,223.6,367.07,0
126.46,262.8,360,0
120.99,263.8,363.8,0
116.59,258.87,357.87,0
164.54,258.07,348.2,0
127.63,269.2,192.6,0
157.63,253.33,132.8,0
261.55,254,3.33,0
286.24,255.8,3.6,0
321.93,261.07,3.53,0
304.1,256.93,3.6,0
219.21,244.13,140.47,0
217.04,242.33,139.53,0
196.01,249.4,333.73,0
203.88,251.33,342,0
127.01,254.6,361.07,0
125.1,255.07,364.53,0
120.05,248.53,354.73,0
115.31,248,194.33,0
123.56,250.8,193.47,0
119.45,251.6,140.73,0
169.46,253.53,133.4,0
269.77,258.07,3.33,0
206.89,259.8,111.27,0
212.67,268.27,104.93,0
200.78,266.93,70.67,0
173.66,266.67,188.07,0
177.51,262.2,310.73,0
191.85,254.8,381.07,0
175.58,256.73,379.6,0
175.94,244.8,344.4,0
159.07,259.73,372.13,0
163.46,255.33,363.33,0
175.39,256.67,363.27,0
292.53,270.6,12.33,0
258.8,268.27,2.07,0
266.11,268.47,44.73,0
279.94,273,44.67,0
248.56,268,44.27,0
252.23,252.53,94.93,0
227.09,253.13,95.47,0
217.74,248.87,97,0
173.98,212.13,97.47,0
192.24,210.07,196.2,0
182.67,271.13,134.67,0
195.2,270.93,136.8,0
199.16,253.47,2.4,0
163.94,238.27,130.8,0
145.42,236.87,109.53,0
173.25,257.33,108.27,0
139.52,238.87,140.33,0
135.58,243.93,148.87,0
216.81,261.6,97.07,0
221.82,269.87,3.73,0
228.55,270.87,3.73,0
231.87,267.4,3.4,0
227.62,265.8,3.2,0
213.12,239.53,80.2,0
190.61,229.53,106.6,0
206.03,240.4,174.87,0
167.65,242.87,206.93,0
195.72,230.4,69.93,0
187.34,232.87,3.53,0
237.19,275.73,3.27,0
224.09,245.2,92.6,0
216.03,243.13,92.47,0
219.15,250.87,90.13,0
201.17,267.73,9.33,0
194.54,269.07,3.53,0
236.99,277.27,54.4,0
234.08,271.13,190,0
259.81,251.8,212.67,0
270.1,261.8,342.07,0
236.49,232.2,372.73,0
225.57,235.47,365.4,0
225.09,259.73,337.8,0
216.26,256.07,341.73,0
228.95,263.13,347.73,0
210.46,264.2,354.73,0
172.56,240.07,259.2,0
178.3,271.73,267.07,0
174.3,276.27,270.93,0
174.64,294.53,315.13,0
191.86,240.87,387.33,0
196.36,211.27,295.13,0
266.42,248.4,67.33,0
432.17,178.13,3.33,0
424.21,219.73,3.4,0
410.05,269.2,3.4,0
400.67,246.73,91.53,0
133.13,281.33,346.6,0
138.17,293.13,343.53,0
141.56,259.53,367.87,0
172.62,263.27,341.73,0
93.17,270.4,397.93,0
89.05,271.53,399.87,0
144.27,244.87,396.47,0
133.22,246.87,396.87,0
138.76,248.87,396.13,0
377.56,265.87,382,0
386.95,266.27,307.53,0
384.67,267.2,269.67,0
394.62,270.87,242.87,0
410.93,265.2,238.6,0
391.15,303,265.27,0
401.45,251.73,268.47,0
212.67,247.4,382.73,0
181.43,254.87,386.67,0
81.42,265.73,383.4,0
89.42,263.47,384.13,0
90.53,264,382.47,0
88.62,261,383.6,0
73.81,243.67,383.53,0
72.29,242.53,383.07,0
71.74,236.73,380.67,0
85.4,240.93,382.13,0
77.58,254.87,381.07,0
81.89,260.2,379.67,0
177.12,256.2,373.67,0
355.96,262.47,284.2,0
391.46,264.53,275.07,0
148.68,251.4,211.73,0
138.86,229.47,127.13,0
119.79,233.2,103.6,0
135.2,241.47,97.47,0
140.56,238.27,98.33,0
118,242.53,107.2,0
131.81,252.33,121.53,0
134.57,247.87,118.67,0
120.2,248.73,124.87,0
105.91,246.8,160.4,0
138.37,234.13,358,0
