n_px,n_p,truth
2.07,0.109,0
2.27,0.109,0
2.31,0.11,0
2.37,0.11,0
2.42,0.11,0
2.63,0.109,0
2.85,0.109,0
3.03,0.11,0
3.49,0.108,0
3.45,0.109,0
3.3,0.108,0
2.86,0.107,0
2.18,0.109,0
2.16,0.109,0
2.15,0.108,0
1.97,0.109,0
1.9,0.11,0
1.95,0.108,0
2.15,0.109,0
2.62,0.105,0
2.68,0.107,0
2.92,0.105,0
3.15,0.103,0
3.21,0.103,0
3.29,0.109,0
2.62,0.101,0
2.5,0.101,0
2.39,0.103,0
2.29,0.101,0
2.03,0.101,0
1.91,0.1,0
1.9,0.1,0
1.91,0.101,0
1.93,0.104,0
1.93,0.103,0
1.97,0.105,0
2.03,0.103,0
2.06,0.106,0
2.13,0.103,0
2.21,0.103,0
2.25,0.103,0
2.88,0.104,0
3.17,0.101,0
3.35,0.101,0
3.42,0.101,0
2.69,0.1,0
1.95,0.1,0
1.91,0.1,0
1.91,0.1,0
1.91,0.101,0
1.91,0.101,0
1.92,0.101,0
2,0.1,0
2.49,0.1,0
2.81,0.1,0
2.97,0.1,0
3.03,0.101,0
3.14,0.101,0
3.2,0.102,0
3.57,0.101,0
3.61,0.1,0
3.49,0.1,0
3.22,0.1,0
3.09,0.1,0
2.12,0.103,0
1.86,0.109,0
1.79,0.107,0
1.78,0.107,0
1.77,0.105,0
1.87,0.105,0
2.04,0.104,0
2.08,0.103,0
2.32,0.103,0
2.37,0.102,0
2.64,0.104,0
2.91,0.104,0
2.96,0.1,0
3.23,0.102,0
3.22,0.1,0
2.75,0.1,0
2.25,0.101,0
2.04,0.101,0
2,0.1,0
1.91,0.1,0
1.83,0.1,0
1.75,0.1,0
1.73,0.1,0
1.66,0.1,0
1.7,0.1,0
1.75,0.1,0
1.77,0.1,0
1.85,0.1,0
1.94,0.101,0
2.05,0.1,0
2.13,0.1,0
2.34,0.1,0
2.5,0.1,0
2.83,0.1,0
2.89,0.1,0
3.06,0.1,0
3.41,0.1,0
3.33,0.1,0
3.17,0.1,0
2.45,0.1,0
2.39,0.1,0
2.04,0.1,0
1.89,0.1,0
1.92,0.1,0
2.16,0.1,0
2.25,0.1,0
2.44,0.1,0
2.54,0.1,0
2.88,0.1,0
3.33,0.1,0
3.34,0.1,0
2.58,0.1,0
2.46,0.1,0
2.18,0.1,0
1.83,0.1,0
1.73,0.1,0
1.74,0.1,0
2.02,0.1,0
2.2,0.1,0
2.55,0.1,0
2.61,0.1,0
3.03,0.1,0
3.15,0.1,0
3.28,0.1,0
