month,day,hour,min,n_px,ce_px,cs_px
1,1,0,0,2.07,247.15,0
1,1,0,15,2.1,306.77,0
1,1,0,30,2.13,269.94,0
1,1,0,45,2.16,307.57,0
1,1,1,0,2.19,360.82,0
1,1,1,15,2.23,360.49,0
1,1,1,30,2.27,361.25,0
1,1,1,45,2.31,412.33,0
1,1,2,0,2.37,419.17,0
1,1,2,15,2.42,432.61,0
1,1,2,30,2.47,413.29,0
1,1,2,45,2.52,442.81,0
1,1,3,0,2.58,435.32,0
1,1,3,15,2.63,428.91,0
1,1,3,30,2.68,428.93,0
1,1,3,45,2.74,431.12,0
1,1,4,0,2.79,437.03,0
1,1,4,15,2.85,474.36,0
1,1,4,30,2.91,463.97,0
1,1,4,45,2.97,472.23,0
1,1,5,0,3.03,460.56,0
1,1,5,15,3.08,455.21,0
1,1,5,30,3.14,446.86,0
1,1,5,45,3.2,426.83,0
1,1,6,0,3.25,414.31,0
1,1,6,15,3.31,432.38,0
1,1,6,30,3.36,387.31,0
1,1,6,45,3.41,255.63,0
1,1,7,0,3.44,209.45,0
1,1,7,15,3.46,168.49,0
1,1,7,30,3.48,120.46,0
1,1,7,45,3.49,37.81,1.55
1,1,8,0,3.49,0.77,21.71
1,1,8,15,3.48,0,135.16
1,1,8,30,3.45,0,177.52
1,1,8,45,3.42,0,200.43
1,1,9,0,3.38,0,241.42
1,1,9,15,3.34,0,308.64
1,1,9,30,3.3,0,304.39
1,1,9,45,3.25,0,338.83
1,1,10,0,3.19,0,442.41
1,1,10,15,3.12,0,439.09
1,1,10,30,3.06,0,440.73
1,1,10,45,2.99,0,375.71
1,1,11,0,2.92,0,355.27
1,1,11,15,2.86,0,384.41
1,1,11,30,2.79,0,383.16
1,1,11,45,2.73,0,377.6
1,1,12,0,2.67,0,368.19
1,1,12,15,2.61,0,330.87
1,1,12,30,2.55,0,315
1,1,12,45,2.5,0,328.31
1,1,13,0,2.45,0,304.82
1,1,13,15,2.4,0,275.11
1,1,13,30,2.35,0,186.53
1,1,13,45,2.31,0,160.77
