month_day_hour_min,p_uiip,p_f,p_pu
0,18.5,32.12,51.04
1,18.61,32.39,51.23
2,18.5,32.19,51.03
3,18.65,32.48,51.59
4,18.73,32.97,52.38
5,18.61,32.97,52.31
6,18.66,32.93,52.52
7,18.5,33.14,53.16
8,18.22,33.32,53.36
9,18.18,33.48,53.47
10,18.3,33.52,53.54
11,18.18,33.69,53.61
12,18.29,33.82,53.69
13,18.15,33.89,53.76
14,18.14,33.86,53.69
15,18.04,33.91,53.78
16,18.16,34.03,54.04
17,18.22,34.15,54.1
18,18.24,34.39,54.24
19,18.18,34.44,54.23
20,18.16,34.48,54.29
21,18.18,34.58,54.4
22,18.2,34.23,54.12
23,18.23,34.47,54.28
24,18.63,34.33,54.18
25,19.5,34.31,54.16
26,19.67,34.18,53.84
27,19.58,33.54,52.07
28,19.5,33.24,51.73
29,19.76,33.18,51.49
30,19.46,33.2,51.54
31,20.62,33.2,51.43
32,20.57,33.12,51.17
33,20.64,32.52,50.59
34,20.47,32.35,50.58
35,20.65,32.15,50.44
36,19.84,31.94,50.21
37,20.43,31.72,49.62
38,20.65,31.57,49.78
39,20.67,31.33,49.36
40,20.71,30.24,48.04
41,20.71,30.33,48.07
42,20.69,30.04,47.77
43,20.7,30.21,47.87
44,20.71,30.29,48.02
45,20.72,30.39,48.35
46,20.65,30.34,48.1
47,20.67,30.39,48.24
48,20.67,30.49,48.2
49,20.8,30.71,48.35
50,20.65,30.92,48.74
51,20.76,30.44,48.1
52,20.69,30.92,48.82
53,20.7,30.67,48.68
54,20.7,31.22,49.16
55,20.77,31.33,49.41
56,20.49,31.35,49.33
57,20.77,31.53,49.63
58,20.54,31.53,49.73
59,20.74,31.75,49.84
60,20.73,31.56,49.74
61,20.53,31.43,49.57
62,20.86,31.69,49.93
63,20.85,31.74,49.73
64,20.65,31.74,49.86
65,20.67,31.36,49.58
66,20.56,31.7,49.7
67,20.6,31.49,49.66
68,20.61,31.44,49.56
69,20.62,31.37,49.59
70,20.56,31.46,49.5
71,20.75,31.51,49.65
72,20.9,31.33,49.57
73,20.64,31.44,49.47
74,20.48,31.69,49.7
75,20.74,31.41,49.32
76,20.67,31.37,49.31
77,21.35,31.43,49.49
78,21.5,31.5,49.55
79,21.77,31.33,49.37
80,21.76,31.32,49.34
81,21.62,31.32,49.35
82,21.67,31.18,49.29
83,21.68,31.74,51.18
84,21.8,31.92,52
85,22.05,32.01,51.95
86,22.16,32.07,51.51
87,22.29,31.78,51.28
88,22.01,32.21,51.47
89,22.11,32.05,51.59
90,22.1,32.62,52.37
91,21.49,32.56,52.59
92,18.7,32.71,52.66
93,18.66,32.73,52.63
94,18.44,32.81,52.73
95,18.18,33.11,53
96,17.96,33.38,53.24
97,18.01,33.39,53.35
98,18.23,33.51,53.31
99,18.12,33.73,53.69
100,18.15,33.59,53.59
101,18.12,33.9,53.67
102,18.12,33.88,53.78
103,18.16,33.95,53.76
104,18.16,34.07,54.02
105,18.13,34.24,54.1
106,18.12,34.36,54.07
107,18.07,34.24,53.9
108,18.16,34.09,53.82
109,18.04,34.48,54.16
110,18.1,34.54,54.35
111,18.2,34.48,54.19
112,17.91,34.44,54.03
113,18.17,34.18,52.97
114,18.12,33.78,52.06
115,18.12,33.78,52.16
116,18.13,33.95,52.32
117,18.07,33.83,52.23
118,18.05,33.24,51.17
119,18.99,33.79,51.84
120,20.65,33.46,51.71
121,20.69,33.46,51.31
122,20.59,33.2,51.31
123,20.67,33.35,51.41
124,20.45,33.05,51.18
125,20.48,33.28,51.5
126,20.48,33.03,51.56
127,20.54,32.82,51.09
128,20.46,32.31,50.86
129,19.57,32.07,50.13
130,20.46,31.64,49.84
131,20.67,31.55,49.61
132,20.61,31.1,49.29
133,20.65,30.21,48.02
134,20.68,30.05,47.73
135,20.64,29.99,47.47
136,20.69,29.79,47.41
137,20.67,29.86,47.39
138,20.67,29.87,47.63
139,20.71,29.93,47.79
140,20.65,30.16,48.18
141,20.69,30.37,47.97
142,20.75,30.4,48.12
143,20.62,30.5,48.27
144,20.73,30.54,48.29
145,20.71,30.76,48.57
146,20.76,30.33,48.18
147,20.68,30.61,48.43
148,20.63,30.7,48.67
149,20.63,30.82,48.6
150,20.66,30.77,48.61
151,20.72,30.93,48.56
152,20.71,31.24,49.17
153,20.67,31.33,49.33
154,20.64,31.24,49.4
155,20.76,31.41,49.52
156,20.72,31.29,49.37
157,20.56,31.38,49.51
158,20.72,31.48,49.61
159,20.89,31.53,49.61
160,20.78,31.5,49.52
161,20.69,31.52,49.62
162,20.81,31.39,49.54
163,20.67,31.48,50.03
164,20.67,31.29,50.01
165,20.73,31.64,50.93
166,20.54,31.33,50.86
167,20.59,31.39,50.81
168,20.67,31.6,50.91
169,21.62,31.81,50.99
170,21.59,31.69,50.87
171,21.52,31.54,50.95
172,21.67,31.69,50.93
173,21.49,31.53,50.8
174,21.73,31.5,50.89
175,21.76,31.56,50.82
176,21.47,31.53,51.16
177,21.77,31.71,51.53
178,21.76,31.6,51.49
179,21.88,31.69,51.55
180,21.54,32.26,51.89
181,21.73,32.22,51.96
182,21.89,32.44,52.18
183,21.45,32.19,51.93
184,21.74,32.65,52.27
185,21.67,32.56,52.3
186,21.9,32.84,52.42
187,18.95,32.94,52.73
188,18.07,32.99,52.79
189,18.1,33.05,52.82
190,17.98,33.32,53.14
191,18.08,33.71,53.48
192,17.96,33.44,53.26
193,18.08,33.8,53.41
194,18.19,33.65,53.49
195,18.01,33.22,52.95
196,18.07,33.16,52.71
197,18.2,33.12,52.64
198,18.12,33.37,52.88
199,18.14,33.24,52.9
200,18.1,33.41,53
201,17.9,33.22,52.73
202,18.05,33.24,52.74
203,18.18,33.39,53.03
204,17.95,33.4,53.07
205,18.17,33.4,53.04
206,18.05,33.65,53.31
207,18.12,33.88,53.61
208,18.09,33.7,53.41
209,18.19,33.91,53.51
210,18.19,33.77,53.67
211,17.95,33.82,53.72
212,18.16,34.02,53.77
213,18.06,34.16,53.82
214,18.22,33.8,53.56
215,19.03,33.73,53.62
216,21.27,33.7,53.48
217,21.27,33.44,53.04
218,21.15,33.35,51.63
219,21.22,32.69,50.54
220,21.22,32.48,50.24
221,21.52,32.21,50.14
222,21.75,31.86,49.54
223,20.46,31.4,49.29
224,21.78,31.37,49.14
225,21.98,31.41,49.2
226,21.95,31.03,48.72
227,21.76,31.07,48.85
228,22.03,30.97,48.64
229,22,30.97,48.54
230,21.98,30.62,48.29
231,22,30.65,48.36
232,21.97,30.52,48.31
233,21.93,31.03,48.87
234,22.06,30.82,48.9
235,22,30.8,48.44
236,22.07,30.75,48.54
237,21.98,30.84,48.78
238,21.95,30.59,48.24
239,22.27,30.72,48.81
240,22.25,30.82,48.52
241,22.15,30.33,48.22
242,21.8,30.8,48.46
243,21.77,30.63,48.51
244,21.62,30.61,48.24
245,21.21,31.12,49.44
246,21.28,31.33,49.48
247,21.18,31.28,49.28
248,21.12,30.87,48.97
249,21.29,31.14,49.14
250,21.39,31.24,49.56
251,21.26,31.33,49.61
252,21.18,31.31,49.39
253,21.13,31.41,49.46
254,20.9,31.2,49.54
255,20.1,31.46,49.63
256,20.37,31.41,49.52
257,20.24,31.23,49.54
258,20.1,31.51,49.59
259,20.28,31.52,50.76
260,20.29,31.62,51.48
261,20.29,31.65,51.37
262,20.1,31.69,50.56
263,20.26,31.6,50.59
264,20.01,31.77,50.51
265,20.14,31.4,50.41
266,20.1,31.53,50.56
267,20.24,31.63,50.63
268,20.24,31.42,50.41
269,20,31.59,50.75
270,20.14,31.41,50.44
271,20.26,31.58,50.54
272,20.24,31.25,50.41
273,19.8,31.67,50.65
274,19.92,31.65,50.66
275,20.2,31.59,50.63
276,20.05,31.87,50.66
277,20.29,31.64,50.69
278,20.1,31.8,51.52
279,20.14,32.02,51.7
280,20.38,31.98,51.8
281,20.19,32.05,51.82
282,20.23,32.48,52.1
283,20.2,32.54,52.3
284,16.71,32.81,52.76
285,16.55,32.95,52.85
286,16.74,33.08,53.01
287,16.62,33.2,53.23
288,16.34,33.6,53.51
289,16.69,33.67,53.43
290,16.7,33.35,53.33
291,16.5,33.74,53.6
292,16.56,33.54,53.27
293,16.6,33.63,53.46
294,16.59,33.69,53.35
295,16.51,33.93,53.61
296,16.53,33.92,53.77
297,16.59,34.13,54.05
298,16.7,34.02,53.93
299,16.67,34.21,53.96
300,16.57,33.93,53.73
301,16.93,34.07,53.97
302,17.11,34.46,54.21
303,16.8,34.37,54.22
304,16.95,34.59,54.33
305,16.65,34.35,53.88
306,16.68,34.58,54.31
307,16.67,34.54,54.25
308,16.64,34.22,54.16
309,16.7,34.22,54.09
310,16.63,34.17,53.97
311,17.85,33.97,53.81
312,20.01,33.9,53.66
313,20.62,33.51,53.31
314,20.72,33.24,51.91
315,20.71,33.27,51.76
316,20.6,33.07,51.31
317,20.88,32.71,50.74
318,20.76,32.45,50.4
319,20.08,32.18,50.16
320,19.65,31.78,49.84
321,20.6,31.66,49.41
322,18.86,31.42,49.35
323,18.77,31.37,49.31
324,21.21,30.84,48.86
325,21.2,30.69,48.68
326,21.32,30.72,48.55
327,21.25,30.65,48.49
328,21.18,30.53,48.35
329,21.65,30.5,47.96
330,21.71,30.62,48.24
331,21.5,30.63,48.43
332,20.78,30.49,48.08
333,21.16,30.76,48.54
334,21.24,30.51,48.38
335,21.28,30.94,49.16
336,21.23,31.31,49.65
337,20.99,31.31,49.41
338,20.63,31.24,49.59
339,20.5,31.37,49.46
340,21.11,31.17,49.38
341,21.16,31.24,49.42
342,21.22,30.99,49.29
343,20.9,31.18,49.33
344,20.87,31.18,49.27
345,20.84,31.27,49.39
346,20.82,31.39,49.54
347,20.68,31.3,49.41
348,20.86,31.39,49.39
349,20.82,31.35,49.55
350,20.69,31.23,49.36
351,19.69,31.59,49.46
352,19.73,31.5,49.67
353,19.89,31.2,49.38
354,19.67,31.58,49.47
355,19.89,31.48,49.67
356,19.77,31.21,49.32
357,19.78,31.35,49.48
358,19.8,31.27,49.5
359,19.74,31.61,49.91
360,19.8,31.18,49.39
361,19.67,31.12,49.54
362,19.88,31.55,49.82
363,19.73,31.1,49.37
364,19.66,31.17,50.05
365,19.61,31.4,50.44
366,19.72,31.31,50.46
367,19.64,31.33,50.48
368,19.57,31.13,50.48
369,19.62,31.1,50.26
370,19.79,31.58,50.54
371,19.74,31.39,50.45
372,19.69,31.31,50.49
373,19.58,31.3,50.5
374,19.67,31.56,50.69
375,19.61,31.45,50.5
376,20.51,31.67,51.73
377,20.44,31.99,52.05
378,20.64,32.11,52.18
379,20.44,32.41,52.34
380,17.19,32.53,52.46
381,16.78,32.67,52.46
382,16.62,32.66,52.72
383,16.48,32.9,52.79
384,15.9,32.97,52.93
385,14.33,32.88,52.72
386,15.71,32.95,52.94
387,16.58,33.12,53.07
388,16.24,33.07,52.82
389,16.56,32.94,52.87
390,16.63,33.05,53.02
391,16.58,33.31,53.18
392,16.59,33.22,53.1
393,16.34,33.16,52.96
394,16.5,33.01,52.71
395,16.6,33.47,53.4
396,15.59,33.22,52.48
397,15.7,33.18,52.93
398,16.56,33.46,53.26
399,16.66,33.59,53.41
400,16.44,33.54,53.39
401,16.58,33.86,53.7
402,16.59,33.83,53.59
403,16.56,34.39,53.99
404,16.5,33.78,53.62
405,16.52,33.76,53.6
406,16.54,33.48,53.43
407,18.09,33.52,53.47
408,19.54,33.4,53.26
409,20.64,33.6,53.22
410,20.75,33.29,52.93
411,20.37,32.84,52.48
412,20.69,32.82,51.36
413,21.11,32.85,51.23
414,21.05,32.14,49.99
415,20.07,31.68,49.48
416,20.6,31.15,48.74
417,20.78,30.67,48.6
418,21.21,30.9,48.59
419,21.16,30.7,48.65
420,21.27,30.41,48.19
421,21.17,30.39,48.31
422,21.14,30.58,48.31
423,21.24,30.25,47.9
424,21.12,30.41,48.27
425,21.12,30.52,48.38
426,21.62,30.56,48.43
427,21.66,30.41,48.23
428,21.65,30.48,48.44
