num,month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
5,1,1,0,0,2.07,247.15,0.00,0.109,196.56,18.50,253.00,32.12,261.93,0.00,51.04
11,1,1,1,30,2.27,361.25,0.00,0.109,160.81,18.66,242.73,32.93,325.67,0.00,52.52
12,1,1,1,45,2.31,412.33,0.00,0.110,159.33,18.50,240.40,33.14,350.00,0.00,53.16
13,1,1,2,0,2.37,419.17,0.00,0.110,151.02,18.22,237.93,33.32,366.07,0.00,53.36
14,1,1,2,15,2.42,432.61,0.00,0.110,140.03,18.18,235.93,33.48,366.27,0.00,53.47
18,1,1,3,15,2.63,428.91,0.00,0.109,129.39,18.15,231.47,33.89,365.20,0.00,53.76
22,1,1,4,15,2.85,474.36,0.00,0.109,147.58,18.22,258.73,34.15,358.87,0.00,54.10
25,1,1,5,0,3.03,460.56,0.00,0.110,128.30,18.16,256.53,34.48,356.13,0.00,54.29
37,1,1,8,0,3.49,0.77,21.71,0.108,180.40,20.57,261.20,33.12,114.60,25.95,51.17
39,1,1,8,30,3.45,0.00,177.52,0.109,211.47,20.47,228.07,32.35,93.73,27.04,50.58
43,1,1,9,30,3.30,0.00,304.39,0.108,238.06,20.65,239.53,31.57,101.47,26.73,49.78
50,1,1,11,15,2.86,0.00,384.41,0.107,259.91,20.72,253.93,30.39,3.47,25.15,48.35
65,1,1,15,0,2.18,0.00,95.23,0.109,197.23,20.73,238.80,31.56,105.27,25.07,49.74
66,1,1,15,15,2.16,0.00,78.85,0.109,185.06,20.53,240.80,31.43,105.20,24.95,49.57
67,1,1,15,30,2.15,0.00,48.95,0.108,196.20,20.86,237.47,31.69,102.27,25.78,49.93
78,1,1,18,15,1.97,0.00,72.33,0.109,183.59,20.64,242.20,31.44,105.73,24.72,49.47
83,1,1,19,30,1.90,0.00,76.48,0.110,185.65,21.50,273.80,31.50,94.33,25.51,49.55
94,1,1,22,15,1.95,256.27,0.00,0.108,191.61,22.11,249.07,32.05,318.00,0.00,51.59
99,1,1,23,30,2.15,361.35,0.00,0.109,147.63,18.44,238.93,32.81,366.73,0.00,52.73
108,1,2,1,45,2.62,454.19,0.00,0.105,108.25,18.16,226.87,33.95,359.40,0.00,53.76
109,1,2,2,0,2.68,449.75,0.00,0.107,114.32,18.16,242.40,34.07,357.20,0.00,54.02
113,1,2,3,0,2.92,446.01,0.00,0.105,123.81,18.16,242.40,34.09,356.13,0.00,53.82
117,1,2,4,0,3.15,435.04,0.00,0.103,117.47,17.91,237.67,34.44,336.80,0.00,54.03
118,1,2,4,15,3.21,344.81,0.00,0.103,123.30,18.17,249.33,34.18,238.67,0.00,52.97
120,1,2,4,45,3.29,296.04,0.00,0.109,104.56,18.12,265.73,33.78,177.60,0.00,52.16
147,1,2,11,30,2.62,0.00,377.07,0.101,252.22,20.75,239.40,30.40,3.80,25.76,48.12
149,1,2,12,0,2.50,0.00,333.73,0.101,237.16,20.73,260.53,30.54,3.53,25.69,48.29
151,1,2,12,30,2.39,0.00,348.28,0.103,226.57,20.76,263.13,30.33,3.47,25.46,48.18
153,1,2,13,0,2.29,0.00,292.15,0.101,210.21,20.63,258.47,30.70,3.60,25.61,48.67
160,1,2,14,45,2.03,0.00,98.57,0.101,206.39,20.76,266.27,31.41,107.87,25.77,49.52
168,1,2,16,45,1.91,2.31,43.35,0.100,179.25,20.67,264.20,31.48,138.07,25.88,50.03
172,1,2,17,45,1.90,73.97,0.00,0.100,183.56,20.59,241.87,31.39,316.13,26.01,50.81
174,1,2,18,15,1.91,108.90,0.00,0.101,202.51,21.62,235.73,31.81,315.93,25.46,50.99
178,1,2,19,15,1.93,67.56,0.00,0.104,187.56,21.49,238.47,31.53,318.60,23.89,50.80
179,1,2,19,30,1.93,59.07,0.00,0.103,178.72,21.73,236.80,31.50,316.93,25.54,50.89
185,1,2,21,0,1.97,218.11,0.00,0.105,191.49,21.54,276.13,32.26,357.53,4.97,51.89
187,1,2,21,30,2.03,291.91,0.00,0.103,185.35,21.89,285.53,32.44,354.00,0.06,52.18
188,1,2,21,45,2.06,278.25,0.00,0.106,177.34,21.45,288.33,32.19,355.67,0.00,51.93
190,1,2,22,15,2.13,318.29,0.00,0.103,183.85,21.67,282.73,32.56,354.13,0.00,52.30
192,1,2,22,45,2.21,334.49,0.00,0.103,157.68,18.95,277.87,32.94,361.27,0.00,52.73
193,1,2,23,0,2.25,331.45,0.00,0.103,162.17,18.07,276.80,32.99,373.27,0.00,52.79
207,1,3,2,30,2.88,288.65,0.00,0.104,175.44,18.05,239.13,33.24,338.93,0.00,52.74
214,1,3,4,15,3.17,329.61,0.00,0.101,192.51,18.19,231.20,33.91,360.87,0.00,53.51
218,1,3,5,15,3.35,355.47,0.00,0.101,158.64,18.06,238.60,34.16,355.60,0.00,53.82
227,1,3,7,30,3.42,0.00,281.05,0.101,220.49,21.75,255.87,31.86,3.53,25.56,49.54
240,1,3,10,45,2.69,0.00,336.73,0.100,271.83,22.00,258.33,30.80,3.73,25.78,48.44
258,1,3,15,15,1.95,0.00,92.55,0.100,184.34,21.13,261.60,31.41,140.20,24.75,49.46
260,1,3,15,45,1.91,2.65,26.56,0.100,176.72,20.10,261.33,31.46,138.40,25.33,49.63
268,1,3,17,45,1.91,88.50,0.00,0.100,167.50,20.26,259.13,31.60,285.27,25.12,50.59
269,1,3,18,0,1.91,46.26,0.00,0.101,177.50,20.01,256.87,31.77,287.67,26.04,50.51
270,1,3,18,15,1.91,53.48,0.00,0.101,184.95,20.14,261.33,31.40,286.13,24.59,50.41
284,1,3,21,45,1.92,262.25,0.00,0.101,168.37,20.14,253.47,32.02,352.47,0.00,51.70
287,1,3,22,30,2.00,308.73,0.00,0.100,185.04,20.23,247.73,32.48,347.53,0.00,52.10
297,1,4,1,0,2.49,396.51,0.00,0.100,168.96,16.56,235.80,33.54,366.33,0.00,53.27
303,1,4,2,30,2.81,430.85,0.00,0.100,152.41,16.70,242.20,34.02,358.27,0.00,53.93
306,1,4,3,15,2.97,436.79,0.00,0.100,115.53,16.93,241.33,34.07,359.40,0.00,53.97
307,1,4,3,30,3.03,432.76,0.00,0.101,115.00,17.11,236.07,34.46,359.87,0.00,54.21
309,1,4,4,0,3.14,463.05,0.00,0.101,129.13,16.95,258.13,34.59,356.00,0.00,54.33
310,1,4,4,15,3.20,411.51,0.00,0.102,130.52,16.65,261.20,34.35,362.00,0.00,53.88
318,1,4,6,15,3.57,239.83,0.00,0.101,164.43,20.62,259.00,33.51,367.33,0.00,53.31
320,1,4,6,45,3.61,18.23,2.13,0.100,178.59,20.71,260.67,33.27,180.93,24.91,51.76
325,1,4,8,0,3.49,0.00,289.59,0.100,229.35,19.65,243.20,31.78,87.87,25.74,49.84
330,1,4,9,15,3.22,0.00,393.67,0.100,287.36,21.20,249.27,30.69,3.33,25.52,48.68
332,1,4,9,45,3.09,0.00,391.21,0.100,291.79,21.25,249.47,30.65,3.40,24.94,48.49
354,1,4,15,15,2.12,0.00,106.87,0.103,202.82,20.82,256.80,31.35,102.80,24.76,49.55
367,1,4,18,30,1.86,0.00,91.58,0.109,163.79,19.88,253.27,31.55,140.87,24.99,49.82
373,1,4,20,0,1.79,3.76,16.55,0.107,188.84,19.57,258.27,31.13,282.60,26.18,50.48
374,1,4,20,15,1.78,0.43,25.50,0.107,191.73,19.62,258.67,31.10,285.33,25.64,50.26
376,1,4,20,45,1.77,28.07,2.17,0.105,182.72,19.74,254.60,31.39,284.53,24.70,50.45
384,1,4,22,45,1.87,304.83,0.00,0.105,179.37,20.44,243.67,32.41,375.87,0.00,52.34
388,1,4,23,45,2.04,382.43,0.00,0.104,154.63,16.48,236.47,32.90,372.73,0.00,52.79
389,1,5,0,0,2.08,373.01,0.00,0.103,201.25,15.90,236.40,32.97,371.40,0.00,52.93
394,1,5,1,15,2.32,362.45,0.00,0.103,209.15,16.56,237.20,32.94,368.00,0.00,52.87
395,1,5,1,30,2.37,360.78,0.00,0.102,210.16,16.63,236.20,33.05,366.73,0.00,53.02
401,1,5,3,0,2.64,339.70,0.00,0.104,159.33,15.59,234.00,33.22,350.87,0.00,52.48
407,1,5,4,30,2.91,370.66,0.00,0.104,170.16,16.59,251.80,33.83,363.87,0.00,53.59
408,1,5,4,45,2.96,387.21,0.00,0.100,178.80,16.56,244.20,34.39,360.27,0.00,53.99
415,1,5,6,30,3.23,180.80,0.00,0.102,177.69,20.75,271.87,33.29,347.27,20.26,52.93
