month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
1,1,0,0,2.07,247.15,0,0.109,196.56,18.5,253,32.12,261.93,0,51.04
1,1,1,30,2.27,361.25,0,0.109,160.81,18.66,242.73,32.93,325.67,0,52.52
1,1,1,45,2.31,412.33,0,0.11,159.33,18.5,240.4,33.14,350,0,53.16
1,1,2,0,2.37,419.17,0,0.11,151.02,18.22,237.93,33.32,366.07,0,53.36
1,1,2,15,2.42,432.61,0,0.11,140.03,18.18,235.93,33.48,366.27,0,53.47
1,1,3,15,2.63,428.91,0,0.109,129.39,18.15,231.47,33.89,365.2,0,53.76
1,1,4,15,2.85,474.36,0,0.109,147.58,18.22,258.73,34.15,358.87,0,54.1
1,1,5,0,3.03,460.56,0,0.11,128.3,18.16,256.53,34.48,356.13,0,54.29
1,1,8,0,3.49,0.77,21.71,0.108,180.4,20.57,261.2,33.12,114.6,25.95,51.17
1,1,8,30,3.45,0,177.52,0.109,211.47,20.47,228.07,32.35,93.73,27.04,50.58
1,1,9,30,3.3,0,304.39,0.108,238.06,20.65,239.53,31.57,101.47,26.73,49.78
1,1,11,15,2.86,0,384.41,0.107,259.91,20.72,253.93,30.39,3.47,25.15,48.35
1,1,15,0,2.18,0,95.23,0.109,197.23,20.73,238.8,31.56,105.27,25.07,49.74
1,1,15,15,2.16,0,78.85,0.109,185.06,20.53,240.8,31.43,105.2,24.95,49.57
1,1,15,30,2.15,0,48.95,0.108,196.2,20.86,237.47,31.69,102.27,25.78,49.93
1,1,18,15,1.97,0,72.33,0.109,183.59,20.64,242.2,31.44,105.73,24.72,49.47
1,1,19,30,1.9,0,76.48,0.11,185.65,21.5,273.8,31.5,94.33,25.51,49.55
1,1,22,15,1.95,256.27,0,0.108,191.61,22.11,249.07,32.05,318,0,51.59
1,1,23,30,2.15,361.35,0,0.109,147.63,18.44,238.93,32.81,366.73,0,52.73
1,2,1,45,2.62,454.19,0,0.105,108.25,18.16,226.87,33.95,359.4,0,53.76
1,2,2,0,2.68,449.75,0,0.107,114.32,18.16,242.4,34.07,357.2,0,54.02
1,2,3,0,2.92,446.01,0,0.105,123.81,18.16,242.4,34.09,356.13,0,53.82
1,2,4,0,3.15,435.04,0,0.103,117.47,17.91,237.67,34.44,336.8,0,54.03
1,2,4,15,3.21,344.81,0,0.103,123.3,18.17,249.33,34.18,238.67,0,52.97
1,2,4,45,3.29,296.04,0,0.109,104.56,18.12,265.73,33.78,177.6,0,52.16
1,2,11,30,2.62,0,377.07,0.101,252.22,20.75,239.4,30.4,3.8,25.76,48.12
1,2,12,0,2.5,0,333.73,0.101,237.16,20.73,260.53,30.54,3.53,25.69,48.29
1,2,12,30,2.39,0,348.28,0.103,226.57,20.76,263.13,30.33,3.47,25.46,48.18
1,2,13,0,2.29,0,292.15,0.101,210.21,20.63,258.47,30.7,3.6,25.61,48.67
1,2,14,45,2.03,0,98.57,0.101,206.39,20.76,266.27,31.41,107.87,25.77,49.52
1,2,16,45,1.91,2.31,43.35,0.1,179.25,20.67,264.2,31.48,138.07,25.88,50.03
1,2,17,45,1.9,73.97,0,0.1,183.56,20.59,241.87,31.39,316.13,26.01,50.81
1,2,18,15,1.91,108.9,0,0.101,202.51,21.62,235.73,31.81,315.93,25.46,50.99
1,2,19,15,1.93,67.56,0,0.104,187.56,21.49,238.47,31.53,318.6,23.89,50.8
1,2,19,30,1.93,59.07,0,0.103,178.72,21.73,236.8,31.5,316.93,25.54,50.89
1,2,21,0,1.97,218.11,0,0.105,191.49,21.54,276.13,32.26,357.53,4.97,51.89
1,2,21,30,2.03,291.91,0,0.103,185.35,21.89,285.53,32.44,354,0.06,52.18
1,2,21,45,2.06,278.25,0,0.106,177.34,21.45,288.33,32.19,355.67,0,51.93
1,2,22,15,2.13,318.29,0,0.103,183.85,21.67,282.73,32.56,354.13,0,52.3
1,2,22,45,2.21,334.49,0,0.103,157.68,18.95,277.87,32.94,361.27,0,52.73
1,2,23,0,2.25,331.45,0,0.103,162.17,18.07,276.8,32.99,373.27,0,52.79
1,3,2,30,2.88,288.65,0,0.104,175.44,18.05,239.13,33.24,338.93,0,52.74
1,3,4,15,3.17,329.61,0,0.101,192.51,18.19,231.2,33.91,360.87,0,53.51
1,3,5,15,3.35,355.47,0,0.101,158.64,18.06,238.6,34.16,355.6,0,53.82
1,3,7,30,3.42,0,281.05,0.101,220.49,21.75,255.87,31.86,3.53,25.56,49.54
1,3,10,45,2.69,0,336.73,0.1,271.83,22,258.33,30.8,3.73,25.78,48.44
1,3,15,15,1.95,0,92.55,0.1,184.34,21.13,261.6,31.41,140.2,24.75,49.46
1,3,15,45,1.91,2.65,26.56,0.1,176.72,20.1,261.33,31.46,138.4,25.33,49.63
1,3,17,45,1.91,88.5,0,0.1,167.5,20.26,259.13,31.6,285.27,25.12,50.59
1,3,18,0,1.91,46.26,0,0.101,177.5,20.01,256.87,31.77,287.67,26.04,50.51
1,3,18,15,1.91,53.48,0,0.101,184.95,20.14,261.33,31.4,286.13,24.59,50.41
1,3,21,45,1.92,262.25,0,0.101,168.37,20.14,253.47,32.02,352.47,0,51.7
1,3,22,30,2,308.73,0,0.1,185.04,20.23,247.73,32.48,347.53,0,52.1
1,4,1,0,2.49,396.51,0,0.1,168.96,16.56,235.8,33.54,366.33,0,53.27
1,4,2,30,2.81,430.85,0,0.1,152.41,16.7,242.2,34.02,358.27,0,53.93
1,4,3,15,2.97,436.79,0,0.1,115.53,16.93,241.33,34.07,359.4,0,53.97
1,4,3,30,3.03,432.76,0,0.101,115,17.11,236.07,34.46,359.87,0,54.21
1,4,4,0,3.14,463.05,0,0.101,129.13,16.95,258.13,34.59,356,0,54.33
1,4,4,15,3.2,411.51,0,0.102,130.52,16.65,261.2,34.35,362,0,53.88
1,4,6,15,3.57,239.83,0,0.101,164.43,20.62,259,33.51,367.33,0,53.31
1,4,6,45,3.61,18.23,2.13,0.1,178.59,20.71,260.67,33.27,180.93,24.91,51.76
1,4,8,0,3.49,0,289.59,0.1,229.35,19.65,243.2,31.78,87.87,25.74,49.84
1,4,9,15,3.22,0,393.67,0.1,287.36,21.2,249.27,30.69,3.33,25.52,48.68
1,4,9,45,3.09,0,391.21,0.1,291.79,21.25,249.47,30.65,3.4,24.94,48.49
1,4,15,15,2.12,0,106.87,0.103,202.82,20.82,256.8,31.35,102.8,24.76,49.55
1,4,18,30,1.86,0,91.58,0.109,163.79,19.88,253.27,31.55,140.87,24.99,49.82
1,4,20,0,1.79,3.76,16.55,0.107,188.84,19.57,258.27,31.13,282.6,26.18,50.48
1,4,20,15,1.78,0.43,25.5,0.107,191.73,19.62,258.67,31.1,285.33,25.64,50.26
1,4,20,45,1.77,28.07,2.17,0.105,182.72,19.74,254.6,31.39,284.53,24.7,50.45
1,4,22,45,1.87,304.83,0,0.105,179.37,20.44,243.67,32.41,375.87,0,52.34
1,4,23,45,2.04,382.43,0,0.104,154.63,16.48,236.47,32.9,372.73,0,52.79
1,5,0,0,2.08,373.01,0,0.103,201.25,15.9,236.4,32.97,371.4,0,52.93
1,5,1,15,2.32,362.45,0,0.103,209.15,16.56,237.2,32.94,368,0,52.87
1,5,1,30,2.37,360.78,0,0.102,210.16,16.63,236.2,33.05,366.73,0,53.02
1,5,3,0,2.64,339.7,0,0.104,159.33,15.59,234,33.22,350.87,0,52.48
1,5,4,30,2.91,370.66,0,0.104,170.16,16.59,251.8,33.83,363.87,0,53.59
1,5,4,45,2.96,387.21,0,0.1,178.8,16.56,244.2,34.39,360.27,0,53.99
1,5,6,30,3.23,180.8,0,0.102,177.69,20.75,271.87,33.29,347.27,20.26,52.93
1,5,7,45,3.22,0,286.75,0.1,230.73,20.07,278.8,31.68,2.53,25.19,49.48
1,5,9,45,2.75,0,400.8,0.1,249.36,21.24,249.4,30.25,2.73,25,47.9
1,5,12,0,2.25,0,192.23,0.101,224.43,21.24,234.27,31.37,122.4,24.76,49.44
1,5,13,30,2.04,0,193.93,0.101,210.58,20.93,252.27,30.93,131.33,25.93,49.13
1,5,13,45,2,0,166.61,0.1,195.96,21.26,249.27,31.14,137.53,25.16,49.5
1,5,14,30,1.91,0,134.21,0.1,201.73,20.59,251.27,30.98,139.4,25.64,49.17
1,5,15,15,1.83,0,127.61,0.1,175.77,20.64,246.87,31.25,101.93,26.07,49.2
1,5,16,0,1.75,0,135.03,0.1,184.23,20.59,251.93,30.93,100.6,25.38,49.13
1,5,16,15,1.73,0,148.23,0.1,188.37,20.8,248.87,31.12,102,25.36,49.12
1,5,18,15,1.66,96.87,0,0.1,160.5,20.75,245.67,31.41,299.53,25.33,50.58
1,5,19,0,1.7,114.2,0,0.1,172.84,20.76,246.67,31.33,317.33,25.04,50.7
1,5,20,30,1.75,69.59,0,0.1,161.36,20.81,247,31.34,316.07,25.95,50.71
1,5,21,0,1.77,167.72,0,0.1,169.69,20.7,246.4,31.39,314.13,5.85,50.89
1,5,22,0,1.85,241.51,0,0.1,169.59,20.69,238.33,32.01,358.53,0,51.71
1,5,22,45,1.94,284.57,0,0.101,158.35,20.17,236.53,32.18,376.8,0,52.22
1,5,23,30,2.05,339.3,0,0.1,140.28,16.59,230.4,32.63,373.27,0,52.78
1,6,0,0,2.13,398.88,0,0.1,140.24,16.61,226.2,32.97,371.87,0,52.99
1,6,1,0,2.34,451.2,0,0.1,142.34,16.55,243,33.57,366.6,0,53.45
