month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
12,26,13,30,3.06,109.96,0,1.701,233.62,21.71,256.27,32.68,403.73,0,52.68
2,3,14,30,2.63,95.3,0,1.048,158.41,20.83,220.2,32.27,374,0,52.18
2,4,12,30,2.67,98.97,0,0.955,230.27,21.96,229.53,32.32,376.93,0,52.33
2,4,14,30,2.7,107.39,0,0.93,213.83,21.56,235,32.2,376,0,52.25
2,5,12,30,2.73,7.95,4.39,1.302,194.77,21.4,231.6,32.29,335.53,0,51.84
2,7,13,30,2.34,68.08,0,0.615,182.59,21.16,216.8,32.05,381.27,0,51.9
2,7,15,30,2.4,176.36,0,0.563,201.84,21.82,236.6,32.12,352.07,0,51.79
2,7,16,30,2.46,160.15,0,0.561,206.53,21.78,235.07,32.19,349.07,0,51.82
2,8,15,30,2.36,126.07,0,0.74,203.06,21.14,228.4,31.79,310.33,0,51.31
2,8,16,15,2.39,128.56,0,0.74,192.98,21.32,223.67,32.18,312.2,0,51.33
2,8,16,30,2.4,129.35,0,0.74,190.24,21.35,226.53,32.01,311.27,0,51.26
2,9,3,30,3.01,234.03,0,1.352,391.33,25.8,269.27,33.18,236,0,51.99
2,9,4,30,3.12,258.79,0,1.666,421.08,24.23,268.8,33.22,264.07,0,52.19
2,9,11,15,2.23,133.29,0,1.039,192.72,21.32,273.87,32.13,381.73,0,51.81
2,9,11,45,2.26,131.41,0,1.01,203.27,21.4,270.33,32.28,377.6,0,51.99
2,9,12,15,2.29,134.13,0,0.99,200.79,21.59,271.87,32.13,375.73,0,51.9
2,9,12,30,2.3,119.69,0,0.979,206.02,21.61,272,32.15,376.07,0,51.84
2,10,16,30,2.08,192.65,0,0.895,178.76,21.09,237.07,32.01,377.27,0,51.86
2,10,17,15,2.14,171.92,0,0.844,181.84,21.27,237.27,32.03,376.93,0,51.89
2,10,17,30,2.16,144.63,0,0.825,181.18,21.02,239.53,31.85,375.67,0,51.85
2,10,20,30,2.13,22.13,4.92,0.777,204.91,21.89,252.73,31.71,312.2,0,51.12
2,10,21,15,2.15,160.61,0,0.776,188.59,21.12,246.53,32.14,376.6,0,51.82
2,10,21,30,2.17,209.2,0,0.775,183.42,21.01,246.53,32.07,375.47,0,52.01
2,11,3,30,2.99,240.65,0,2.052,339.96,21.79,237.2,33.19,295.4,0,52.41
2,11,4,30,3.11,263.17,0,2.308,380.4,21.44,234.73,33.34,291.33,0,52.62
2,11,14,30,2.23,109.27,0,1.073,137.69,20.06,249.6,31.86,379.4,0,51.82
2,11,16,30,2.36,171.88,0,0.858,176.6,20.94,245.67,32.14,375.93,0,52.16
2,12,13,30,2.58,30.15,1.11,1.55,144.03,20.2,228.4,31.85,376.87,0,51.94
2,12,21,30,2.18,231.87,0,0.6,202.09,21.75,228.53,32.51,352.93,0,52.14
2,13,20,30,2.37,102.82,0,1.09,184.27,21.35,221.2,32.1,355.13,0,51.78
2,14,15,30,2.64,147.17,0,1.31,199.77,21.75,222.67,32.27,373.4,0,52.42
2,14,16,30,2.7,117.04,0,1.31,189.4,20.84,223.87,32.22,339.13,0,51.86
2,14,19,30,2.2,0,285.36,0.939,107.27,19.2,279.13,30.19,107.6,0,47.69
2,15,16,15,2.68,151.76,0,1.33,203.01,20.73,234.4,32.3,331.53,0,51.82
2,15,16,30,2.69,140.69,0,1.325,182.66,20.93,231.2,32.51,329.73,0,52.01
2,16,11,15,2.45,75.23,0,1.529,178.03,20.62,211.53,32.05,375.27,0,52.06
2,16,14,15,2.5,30.83,3.04,1.158,167.41,20.61,246,32.04,306.4,0,51.3
2,16,14,30,2.5,44.45,0,1.134,156.89,20.81,247.2,31.93,309.73,0,51.29
2,17,16,30,2.15,127.17,0,1.274,181.45,20.67,227.6,31.71,354.87,0,51.57
2,17,17,30,2.2,104.9,0,1.144,170.68,20.65,227.27,31.8,355.6,0,51.51
2,20,18,15,2.39,72.09,0,1.083,146.11,20.59,222.8,32.21,311,0,51.25
2,20,18,30,2.4,70.65,0,1.063,152.41,20.81,224.4,32.12,321.67,0,51.44
2,20,19,30,2.42,85.61,0,0.988,156.49,20.63,223.47,31.9,378.07,0,51.98
2,21,16,30,2.59,123.41,0.87,1.112,168.11,21.18,221.47,32.18,327.87,0,51.78
2,22,10,30,2.86,81.66,0,2.295,165.49,20.52,219.53,32.38,375.73,0,52.26
2,22,12,15,2.89,81.07,0,2.093,160.53,20.77,219.27,32.39,373.4,0,52.45
2,23,13,30,2.81,68.67,0,1.549,186.95,21.12,232.87,32.5,376.6,0,52.24
2,23,14,30,2.83,107.93,0,1.49,150.93,20.71,224.13,32.34,376.67,0,52.46
2,23,21,30,2.21,193.77,0,0.81,194.18,22.07,223.2,32.12,377.2,0,52.13
2,24,15,30,2.73,171.24,0,1.417,178.18,21.27,238.13,32.52,368.47,0,52.11
2,24,16,30,2.8,141.1,0,1.381,206.68,21.44,236.93,32.62,334.53,0,51.99
2,24,17,15,2.84,92.87,0.39,1.37,182.77,21.24,242.4,32.24,323.47,0,51.63
2,25,15,30,2.68,204.43,0,1.373,175.74,20.99,237.53,32.71,373.6,0,52.57
2,26,14,30,2.77,98.28,0,1.577,169.08,20.49,236.4,32.76,363.6,0,52.38
2,26,15,15,2.79,157.36,0,1.497,198.95,21.05,239.33,32.55,361.33,0,52.39
2,26,15,30,2.8,135.51,0,1.477,188.68,21.22,237.6,32.65,335.07,0,51.93
2,26,16,15,2.84,112.41,0,1.441,185.2,21.19,242.2,32.28,322.4,0,51.77
2,26,16,30,2.85,101.66,0,1.427,184.99,21.2,241.4,32.39,286,0,51.57
3,1,12,15,2.53,72,0,1.363,177.45,20.65,240.87,32.08,376.07,0,51.94
3,2,13,30,2.7,117.81,0,1.353,117.36,19.81,240.73,32.18,376.4,0,52.24
3,4,1,30,2.45,276.9,0,1.739,411.86,24.74,263.73,32.84,240.6,0,51.48
3,4,13,30,2.57,62.11,0,1.523,139.5,20.29,228.4,32.29,380.07,0,52.08
3,4,14,30,7.54,248.791,0,4.176,598.966,62.611,665.26,93.38000000000001,1102.9569999999999,0,151.26399999999998
3,4,15,30,2.64,136.62,0,1.44,200.88,21.83,227.67,32.35,375.27,0,52.47
3,4,16,15,2.69,135.81,0,1.44,189.87,21.85,228.93,32.26,373.87,0,52.32
3,5,12,30,2.66,29.02,0.09,1.435,160.7,20.76,237.07,32.21,374.4,0,52.15
3,6,1,30,2.44,299.54,0,1.497,352.67,23.82,238.13,32.93,251.67,0,51.78
3,7,0,30,3.25,300.63,0,1.479,401.29,24.01,222.27,33.29,288.2,0,52.72
3,7,20,30,2.38,48.5,0,1.14,195.55,21.56,218.07,31.78,377.27,0,51.82
3,8,21,30,2.49,182.1,0,0.98,186.83,21.44,240.6,32.6,370.87,0,52.46
3,9,4,15,3.58,302.27,0,2.447,319.69,21.65,248.93,33.99,315.4,0,53.36
3,9,4,30,3.62,310.51,0,2.513,317.88,21.68,245.27,34.26,314.6,0,53.57
3,10,14,30,2.66,108.37,0,1.89,226.19,22.01,233,32.03,375,0,52.15
3,10,21,30,2.17,238.19,0,0.745,182.29,21.1,228.6,32.33,374.47,0,52.24
3,11,4,30,3.36,341.01,0,2.427,350.19,22.63,243.93,34.02,314,0,53.45
3,11,12,30,3.03,0,153.79,2,217.63,21.31,233.07,32.29,112.07,0,50.35
3,12,14,30,2.65,0,16.2,1.883,229.11,21.39,237.87,32.01,273.73,0,51.17
3,12,16,30,2.65,67.71,0,1.87,225.81,21.66,236.67,32.12,269.93,0,51.09
3,14,12,15,2.83,95.97,0,2.037,151.93,20.06,220.87,32.33,374.47,0,52.39
3,14,12,30,2.84,85.5,0,2,156.55,20.3,218.8,32.45,374.67,0,52.38
3,14,21,30,2.41,205.07,0,0.69,190.77,21.78,233.33,32.46,372.6,0,52.45
3,17,12,30,3.22,113.71,0,2.067,133.42,20.33,251,32.83,374.27,0,52.69
3,21,20,30,2.37,84.1,0,0.971,194.83,21.41,230.87,32.05,374.8,0,52.08
3,22,21,30,2.35,200.23,0,0.605,190.73,21.6,228.47,32.48,374.87,0,52.23
3,23,10,30,2.79,98.72,0,2.077,135.94,20.24,258.93,32.69,375.87,0.08,52.53
3,24,12,30,2.77,76.16,0,1.604,145.35,20.31,252.07,32.36,365.8,0,52.18
3,26,14,30,2.8,113.63,0,1.561,154.84,20.8,242.87,32.47,375.4,0,52.34
