month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
12,4,18,0,3.25,0,315.35,1.376,161.66,20.55,267.67,31.27,160.07,0,48.32
12,4,18,45,3.07,0,372.88,1.294,181.24,20.87,260.33,30.71,179.93,0,47.76
12,4,19,0,3,0,369.41,1.275,180.76,20.67,260.53,30.64,179.87,0,47.61
12,4,20,45,2.57,0,325.11,1.096,180.75,20.92,259,30.78,178.87,0,47.64
12,4,21,45,2.35,0,231.77,1.032,181.41,21.03,256.73,30.96,180.07,0,47.97
12,5,6,15,3.37,131.99,0,3.05,208.4,20.88,264.33,33.17,378.47,0,52.77
12,5,7,30,3.22,0,399.7,2.873,95.73,17.77,270.07,30.77,94.93,0,48
12,5,9,45,2.67,0,340.42,2.271,96.07,17.8,267.27,30.63,95.33,0,47.78
12,5,10,0,2.61,0,329.15,2.226,95.69,18.28,267.53,30.59,95.13,0,47.93
12,5,10,45,2.44,12.97,194.21,2.015,147.77,19.33,244.87,31.31,125.47,0,49.63
12,6,0,0,2.38,331.06,0,1.217,385.12,23.7,265.93,32.96,258.73,0,51.73
12,6,5,0,3.25,397.86,0,2.737,308.46,17.63,247.27,34.37,367.2,0,54.03
12,6,7,0,3.43,0,117.71,2.744,101.1,19.76,258.53,32.67,100.27,0,50.2
12,6,8,0,3.29,0,293.55,2.58,100.8,18.8,272.93,31.44,100.53,0,48.8
12,6,9,0,3.05,0,333.23,2.341,129.15,18.69,266.93,30.88,98.13,0,48.69
12,6,18,45,3.08,0,335.35,1.491,158.16,20.48,264.47,31.21,156.93,0,48.07
12,7,6,30,6.593,0,555.275,5.527099999999999,218.519,32.623000000000005,538.5930000000001,60.249,217.22699999999998,0,92.872
12,7,18,30,1.98,0,297.45,0.84,139.04,19.85,267.87,30.31,137.73,0,47.54
12,8,0,15,1.89,218.17,0,1.053,407.61,24.72,252.33,32.07,150.07,0,50.16
12,8,4,45,2.52,357.4,0,2.578,392.22,24.76,239.93,33.16,318.8,0,52.53
12,8,7,0,2.9,359.13,0,2.87,202.45,20.77,236.8,33.56,450.93,0,54.27
12,8,23,15,2.41,380.84,0,1.155,421.37,23.69,250.53,33.33,377.53,0,53.1
12,9,7,30,3.24,0,372.99,2.677,142.6,17.34,270.27,30.8,140.87,0,47.94
12,9,7,45,3.17,0,388.99,2.626,140.58,18.25,274.47,30.47,139.13,0,47.65
12,9,8,0,3.1,0,405.14,2.579,139.64,18.39,275.93,30.32,138.93,0,47.39
12,9,9,0,2.81,0,431.56,2.33,138.91,18.33,281.13,29.81,137.73,0,47.01
12,9,9,30,2.67,0,414.11,2.194,139.87,18.05,279.13,29.91,138.53,0,46.98
12,10,5,15,2.87,398.68,0,2.804,245.04,14.75,231.53,33.82,372.4,0,53.6
12,10,6,45,3.17,352.79,0,2.814,188.87,19.59,246.47,33.81,437.8,0,54.44
12,10,12,0,3.04,115.7,0,1.935,94.36,17.32,244.27,32.77,478.8,0,53.54
12,10,17,45,2.69,0,392.69,1.17,208.29,21.5,259,30.05,207.4,0,46.63
