id,month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,score
14348,6,7,13,45,0,0,0,0,0,0,0,0,0,0,0,0.78
26946,10,28,22,30,0,0,0,0,0,0,0,0,0,0,0,0.77
27951,11,8,8,45,0,0,0,0,0,0,0,0,0,0,0,0.77
30051,11,30,5,45,0,0,0,0,0,0,0,0,0,0,0,0.77
20382,8,9,10,15,3.29,0,532.02,2.104,715.22,35.14,488.73,29.31,87.07,47.1,46.2,0.74
20381,8,9,10,0,3.39,0,598.49,2.165,703.19,34.55,504.47,28.16,82.27,53.86,45.07,0.73
27517,11,3,20,15,1.83,0,384.88,0.738,-0.01,14.55,94.47,28.89,0.33,0,46.97,0.68
32369,12,24,9,15,2.7,0,624.08,2.363,128.92,18.54,191.6,26.76,128.2,0,44.12,0.68
13451,5,29,5,30,3.77,480.99,0,2.539,438.73,28.76,546.93,36.04,8.13,0,52.71,0.65
32370,12,24,9,30,2.6,0,615.55,2.303,129.28,18.83,191,26.97,127.47,0,44.26,0.65
32371,12,24,9,45,2.5,0,599.53,2.229,130.01,18.26,191.2,27.03,129.73,0,44.24,0.65
2433,2,3,8,30,0,0,0,0,0,18.3,257.07,30.54,0,26.36,48.04,0.64
4069,2,20,10,0,3.02,0,612.52,2.301,139.35,17.32,210.4,28.37,140.27,6.32,45.66,0.64
16020,6,24,23,45,2.43,316.03,0,0.726,487.06,11.78,365.27,32.71,203.73,0,50.99,0.64
22195,8,28,7,30,3.56,512.38,0,3.115,262.87,21.76,408.6,35.34,372.87,0,54.59,0.64
2435,2,3,9,0,0,0,0,0,0,20.61,263.22,30.01,0,25.61,47.11,0.63
2521,2,4,7,0,3.38,8.63,313.38,1.658,99.17,18.12,260.53,31.22,152.4,26.59,48.9,0.63
1244,1,13,23,0,0.64,405.14,0,0.596,345.75,25.01,264.73,31.56,382.4,0,51.54,0.62
2432,2,3,8,15,0,0,0,0,0,18.7,257.88,30.55,0,23.46,48.48,0.62
16817,7,3,7,0,3.81,541.47,0,2.475,257.87,23.84,388.27,35.62,347.93,0,54.86,0.62
20078,8,6,6,15,3.6,439.29,0,2.976,494.61,29.86,512.27,35.41,148.33,50.2,52.63,0.62
22193,8,28,7,0,3.44,545.28,0,3.163,213.4,21.7,403.33,35.56,369.93,0,54.71,0.62
29867,11,28,7,45,3.29,0,152.85,2.305,216.83,20.75,0,32,401.8,0,52.3,0.62
32467,12,25,9,45,3.36,0,601.71,2.389,119.52,18.39,187.27,27.96,118.33,0,45.31,0.62
1178,1,13,6,30,-0.06,22.31,27.49,2.198,121.94,20.11,310.87,26.37,204.2,16.46,44.67,0.61
2434,2,3,8,45,0,0,0,0,0,19.75,261.28,30.18,0,25.21,47.32,0.61
2437,2,3,9,30,0,0,0,0,0,20.52,256.8,29.93,0,25.21,47.13,0.61
2439,2,3,10,0,0,0,0,0,0,21.53,227.37,32.13,0,6.55,51.62,0.61
20069,8,6,4,0,3.23,477.67,0,2.131,514.09,33.45,493.53,35.24,150.93,41.95,52.41,0.61
20077,8,6,6,0,3.55,432.53,0,2.901,496.41,29.95,520.07,35.22,149.4,47.75,52.48,0.61
896,1,10,8,0,3.41,0,257.8,0.1,254.12,14.67,266.07,32.14,63.73,24.85,50.13,0.60
1151,1,12,23,45,-0.06,86.18,0,0.219,421.1,28.5,224.8,35.05,3.27,0,52.82,0.60
2438,2,3,9,45,0,0,0,0,0,19.88,252.9,29.87,0,25.17,47.21,0.60
5496,3,7,6,45,4,0,353.03,2.973,79.54,19.62,268.2,32.21,79.93,25.44,49.5,0.60
13332,5,27,23,45,2.61,540.57,0,0.51,262.56,22.78,421.67,34.78,456.27,0,55.12,0.60
20065,8,6,3,0,2.99,598.86,0,1.745,513.13,33.44,433.67,35.52,358.4,37.83,54.64,0.60
20173,8,7,6,0,3.95,505.49,0,2.916,382.51,24.88,395.2,35.69,311.8,56.68,54.52,0.60
32368,12,24,9,0,2.79,0,525.13,2.435,132.62,18.27,268.67,28.41,131.67,0,45.47,0.60
1155,1,13,0,45,-0.06,66.74,0,0.537,437.91,28.02,198.4,36.08,3.2,0,54.16,0.59
1479,1,16,9,45,0,0,371.57,2.245,145.01,19.59,253.67,31.37,131.4,25.77,49.52,0.59
1672,1,18,10,0,2.71,0,433.79,2.685,268.12,20.65,133.2,30.02,3.67,25.42,47.73,0.59
2436,2,3,9,15,0,0,0,0,0,20.11,261.72,30.1,0,25.17,47.23,0.59
3013,2,9,10,0,2.46,0,516.65,1.293,85.8,18.51,97.67,28.46,86.73,7.54,46.04,0.59
4067,2,20,9,30,3.21,0,625.15,2.393,135.34,18.94,224.07,28.16,136.47,22.8,45.37,0.59
4068,2,20,9,45,3.12,0,635.42,2.349,135.3,18.92,216.53,27.93,134.8,25.51,45.32,0.59
9332,4,16,7,45,3.95,283.76,0,2.992,82.36,20.51,252.53,34.46,473.87,14.32,55.11,0.59
13331,5,27,23,30,2.55,537.09,0,0.519,248.46,22.52,425.4,34.56,463.6,0,55.08,0.59
13717,6,1,0,0,2.8,468.91,0,0.962,394.83,24.14,476.27,34.61,264.6,0,52.83,0.59
14250,6,6,13,15,2.89,31.44,189.28,1.4,419.95,25.87,136.13,10.95,207.33,0,49.59,0.59
19995,8,5,9,30,3.25,0,318.59,2.083,730.74,32.8,444.13,31.1,163.47,55.1,47.46,0.59
20175,8,7,6,30,4.06,490.49,0,3.033,375.25,24.86,409.33,35.7,311.07,65.1,54.37,0.59
20176,8,7,6,45,4.12,476.7,0,3.079,292.98,24.8,431.53,35.65,311.53,87.87,54.38,0.59
20380,8,9,9,45,3.47,0,442.8,2.246,689.31,33.04,475.53,30.38,96.67,58.5,47.13,0.59
22194,8,28,7,15,3.5,519.45,0,3.137,232.73,21.69,407.8,35.37,371.87,0,54.59,0.59
31012,12,10,6,0,3.02,439.19,0,2.848,71.91,19.65,240.53,34.26,462.73,0,55.11,0.59
32468,12,25,10,0,3.26,0,546.83,2.326,121.39,18.04,261.73,28.61,120.2,0,45.85,0.59
32470,12,25,10,30,3.08,0,542.24,2.189,120.85,17.92,300.27,28.72,119.2,0,45.81,0.59
1149,1,12,23,15,-0.06,93.07,0,0.05,340.24,23.18,251.6,33.4,28.47,0,51.12,0.58
1150,1,12,23,30,-0.06,82.51,0,0.126,396.21,26.35,217,35.14,10.2,0,53.22,0.58
1159,1,13,1,45,-0.06,56.41,0,0.87,428.35,28.82,209.2,35.9,3.33,0,53.65,0.58
1175,1,13,5,45,-0.06,59.55,0,2.235,196.53,21.16,267.27,31.19,134.6,0,49.24,0.58
1243,1,13,22,45,0.59,370.33,0,0.575,134.95,20.51,269.6,31.21,384.33,0,51.33,0.58
1247,1,13,23,45,0.77,342.22,0,0.81,384.67,25.84,267.2,31.36,269.67,0,50.34,0.58
2442,2,3,10,45,0,0,0,0,0,21.62,232.33,32.32,0,0,52.16,0.58
2443,2,3,11,0,0,0,0,0,0,21.64,232.93,32.26,0,0,52.29,0.58
5495,3,7,6,30,4.06,0,330.96,3.008,82.04,19.97,268.2,32.26,78.87,18.71,50.12,0.58
9248,4,15,10,45,2.7,0,551.45,1.808,152.09,15.12,268.67,28.55,153.53,5.96,45.52,0.58
13450,5,29,5,15,3.72,482.25,0,2.432,438.95,28.93,548.67,36.1,7.93,0,52.8,0.58
14802,6,12,7,15,3.77,577.06,0,2.68,280.07,22.76,425.13,36.01,337.73,0,55.07,0.58
22196,8,28,7,45,3.62,491.61,0,3.071,290.62,21.79,412.4,35.16,355.4,0,54.34,0.58
29164,11,21,0,0,2.69,423.75,0,0.319,256.33,1.22,252.67,33.81,372.2,0,53.48,0.58
30056,11,30,7,0,0,0,344.19,2.881,77.72,18.01,299.33,30.93,77,0,48.1,0.58
30780,12,7,20,0,1.62,0,378.19,0.743,204.56,21.14,281.73,29.02,203.87,0,45.7,0.58
31780,12,18,6,0,3.38,452.32,0,2.803,155.08,20.65,260.07,34.82,405.67,0,54.91,0.58
32366,12,24,8,30,2.97,0,511.67,2.546,132.73,18.61,298.47,28.81,131.67,0,45.77,0.58
32471,12,25,10,45,2.98,0,545.86,2.117,120.23,18.31,300.93,28.71,119.47,0,45.72,0.58
1148,1,12,23,0,-0.06,111.27,0,0.001,266.42,21.14,248.4,33.03,67.33,0,51,0.57
1163,1,13,2,45,-0.06,63.47,0,1.211,425.55,28.5,197.2,36.14,3.2,0,54.11,0.57
1240,1,13,22,0,0.48,297.74,0,0.652,86.06,19.76,250.2,30.8,388.4,0,50.93,0.57
2441,2,3,10,30,0,0,0,0,0,21.72,233.38,32.23,0,0.08,51.86,0.57
7906,4,1,11,15,2.07,0,82.89,2.191,90.75,20.21,200.93,31.37,387.33,2.67,51.1,0.57
8950,4,12,8,15,3.22,0,524.31,2.985,185.5,21.23,267.27,29.54,186.2,0,46.2,0.57
9341,4,16,10,0,3.37,0,600.51,2.378,198.47,16.25,255.93,28.65,199.47,5.93,45.18,0.57
9345,4,16,11,0,3,0,598.52,1.899,206.23,14.02,258.8,28.45,206,1.63,45.15,0.57
11447,5,8,8,30,3.95,231.52,0,2.795,211.02,21.79,268.33,34,467.6,24.09,54.83,0.57
12852,5,22,23,45,2.88,551.41,0,0.99,208.88,21.79,420.33,34.95,415.53,0,54.99,0.57
13524,5,29,23,45,2.18,541.85,0,0.812,221.03,22.84,429.67,34.31,364.67,0,53.53,0.57
14049,6,4,11,0,2.93,0,441.6,1.77,252.58,20.52,404,29.73,253.67,6.47,45.39,0.57
18941,7,25,10,0,3.3,0,379.49,1.785,691.67,31.23,453,30.73,210,65.1,46.5,0.57
18943,7,25,10,30,3.15,0,420.62,1.624,664.33,31.5,429,30.12,207.2,60.15,46.07,0.57
20066,8,6,3,15,3.06,499.13,0,1.837,506.39,33.46,301.6,34.41,366.2,41.29,53.98,0.57
20067,8,6,3,30,3.11,548.76,0,1.931,504.52,33.48,354.4,35.05,360.6,39.8,54.39,0.57
