id,valueYName,valueY,valueXName,valueX,score_1,scores_total,score,anomaly
0,month,1,month_day_hour_min,,0.47,0.47,0.47,false
1,month,1,month_day_hour_min,,0.46,0.46,0.46,false
2,month,1,month_day_hour_min,,0.46,0.46,0.46,false
3,month,1,month_day_hour_min,,0.46,0.46,0.46,false
4,month,1,month_day_hour_min,,0.44,0.44,0.44,false
5,month,1,month_day_hour_min,,0.44,0.44,0.44,false
6,month,1,month_day_hour_min,,0.45,0.45,0.45,false
7,month,1,month_day_hour_min,,0.47,0.47,0.47,false
8,month,1,month_day_hour_min,,0.48,0.48,0.48,false
9,month,1,month_day_hour_min,,0.47,0.47,0.47,false
10,month,1,month_day_hour_min,,0.47,0.47,0.47,false
11,month,1,month_day_hour_min,,0.47,0.47,0.47,false
12,month,1,month_day_hour_min,,0.44,0.44,0.44,false
13,month,1,month_day_hour_min,,0.42,0.42,0.42,false
14,month,1,month_day_hour_min,,0.44,0.44,0.44,false
15,month,1,month_day_hour_min,,0.42,0.42,0.42,false
16,month,1,month_day_hour_min,,0.44,0.44,0.44,false
17,month,1,month_day_hour_min,,0.43,0.43,0.43,false
18,month,1,month_day_hour_min,,0.45,0.45,0.45,false
19,month,1,month_day_hour_min,,0.48,0.48,0.48,false
20,month,1,month_day_hour_min,,0.46,0.46,0.46,false
21,month,1,month_day_hour_min,,0.45,0.45,0.45,false
22,month,1,month_day_hour_min,,0.46,0.46,0.46,false
23,month,1,month_day_hour_min,,0.45,0.45,0.45,false
24,month,1,month_day_hour_min,,0.48,0.48,0.48,false
25,month,1,month_day_hour_min,,0.47,0.47,0.47,false
26,month,1,month_day_hour_min,,0.46,0.46,0.46,false
27,month,1,month_day_hour_min,,0.46,0.46,0.46,false
28,month,1,month_day_hour_min,,0.47,0.47,0.47,false
29,month,1,month_day_hour_min,,0.44,0.44,0.44,false
30,month,1,month_day_hour_min,,0.44,0.44,0.44,false
31,month,1,month_day_hour_min,,0.44,0.44,0.44,false
