id,﻿num,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,month_day_hour_min,score
26,31,3.36,387.31,0,0.106,117.87,19.67,260.47,34.18,337.73,18.93,53.84,26,0.59
889,894,3.61,36.85,1.4,0.1,213.11,21.29,277.2,33.22,312.47,0,52.44,889,0.57
27,32,3.41,255.63,0,0.106,120.14,19.58,267.73,33.54,214.33,26.67,52.07,27,0.56
118,123,3.4,182.78,0,0.107,112.55,18.05,271.47,33.24,91.27,0,51.17,118,0.56
894,899,3.5,0,250.09,0.1,243.59,14.99,276.2,32.27,74.47,26.73,50.03,894,0.56
42,47,3.06,0,440.73,0.11,254.88,20.69,259.4,30.04,3.13,26.58,47.77,42,0.55
126,131,3.5,3.71,34.25,0.104,185.12,20.48,199.6,33.03,153.27,26.9,51.56,126,0.55
890,895,3.61,12.29,119.31,0.1,207.49,21.1,285.4,32.6,166.07,17.39,51.07,890,0.55
896,901,3.41,0,257.8,0.1,254.12,14.67,266.07,32.14,63.73,24.85,50.13,896,0.55
28,33,3.44,209.45,0,0.109,138.55,19.5,271.53,33.24,194.73,25.24,51.73,28,0.54
29,34,3.46,168.49,0,0.109,124.55,19.76,271.8,33.18,186.8,26.04,51.49,29,0.54
30,35,3.48,120.46,0,0.11,141.79,19.46,271.93,33.2,165.93,24.87,51.54,30,0.54
121,126,3.47,159.28,0,0.108,149.01,20.69,268.27,33.46,86,0,51.31,121,0.54
127,132,3.49,0,97.18,0.105,215.27,20.54,202.73,32.82,155,25.26,51.09,127,0.54
137,142,2.95,0,468.46,0.102,265.94,20.67,246.73,29.86,3.8,21.12,47.39,137,0.54
712,717,2.85,0,451.87,0.1,320.01,22.61,263.87,29.69,3.4,25.09,47.51,712,0.54
0,5,2.07,247.15,0,0.109,196.56,18.5,253,32.12,261.93,0,51.04,0,0.53
1,6,2.1,306.77,0,0.11,182.76,18.61,249.93,32.39,259.33,0,51.23,1,0.53
2,7,2.13,269.94,0,0.11,194.23,18.5,251.67,32.19,262.67,0,51.03,2,0.53
33,38,3.48,0,135.16,0.11,193.92,20.64,225.33,32.52,95.27,25.07,50.59,33,0.53
84,89,1.81,222.12,0,0.108,196.79,21.8,250.53,31.92,379.53,7.58,52,84,0.53
115,120,3.29,296.04,0,0.109,104.56,18.12,265.73,33.78,177.6,0,52.16,115,0.53
888,893,3.6,90.09,0,0.1,202.64,21.02,266.27,33.37,311.13,0,52.65,888,0.53
895,900,3.45,0,223.24,0.1,243.01,16.26,275.8,32.21,62.8,25.44,50.23,895,0.53
3,8,2.16,307.57,0,0.11,171.88,18.65,248.13,32.48,271.47,0,51.59,3,0.52
