month_day_hour_min,i_uiipu,c_pu_p,p_pu,truth
0,261.93,0,51.04,0
1,259.33,0,51.23,0
2,262.67,0,51.03,0
3,271.47,0,51.59,0
4,313.73,0,52.38,0
5,316,0,52.31,0
6,325.67,0,52.52,0
7,350,0,53.16,0
8,366.07,0,53.36,0
9,366.27,0,53.47,0
10,364.87,0,53.54,0
11,364.87,0,53.61,0
12,365.87,0,53.69,0
13,365.2,0,53.76,0
14,364.4,0,53.69,0
15,364.2,0,53.78,0
16,360.8,0,54.04,0
17,358.87,0,54.1,0
18,357.2,0,54.24,0
19,356.47,0,54.23,0
20,356.13,0,54.29,0
21,354.87,0,54.4,0
22,356.27,0,54.12,0
23,355.4,0,54.28,0
24,356.27,0,54.18,0
25,355.93,0,54.16,0
26,337.73,18.93,53.84,0
27,214.33,26.67,52.07,0
28,194.73,25.24,51.73,0
29,186.8,26.04,51.49,0
30,165.93,24.87,51.54,0
31,117.13,25.14,51.43,0
32,114.6,25.95,51.17,0
33,95.27,25.07,50.59,0
34,93.73,27.04,50.58,0
35,96.33,25.29,50.44,0
36,97.73,26.09,50.21,0
37,104.67,25.07,49.62,0
38,101.47,26.73,49.78,0
39,104.87,24.37,49.36,0
40,3.53,26.11,48.04,0
41,3.47,25.13,48.07,0
42,3.13,26.58,47.77,0
43,3.2,24.65,47.87,0
44,3.4,25.62,48.02,0
45,3.47,25.15,48.35,0
46,3.6,25.48,48.1,0
47,3.53,26.15,48.24,0
48,3.27,26.24,48.2,0
49,3.4,25.92,48.35,0
50,3.4,25.1,48.74,0
51,3.4,25.05,48.1,0
52,3.33,25.61,48.82,0
53,3.67,25.19,48.68,0
54,81.27,25.82,49.16,0
55,111.33,25.7,49.41,0
56,109.8,25.43,49.33,0
57,108.8,24.77,49.63,0
58,106.07,24.61,49.73,0
59,105.4,25.45,49.84,0
60,105.27,25.07,49.74,0
61,105.2,24.95,49.57,0
62,102.27,25.78,49.93,0
63,103.13,25.57,49.73,0
64,103.73,24.99,49.86,0
65,104.07,25.23,49.58,0
66,104.53,25.14,49.7,0
67,105.8,24.34,49.66,0
68,105.4,26.29,49.56,0
69,104.47,24.86,49.59,0
70,107.27,25.97,49.5,0
71,105.73,25.21,49.65,0
72,106.47,26.13,49.57,0
73,105.73,24.72,49.47,0
74,95.47,25.38,49.7,0
75,94.4,25.26,49.32,0
76,95.33,25.49,49.31,0
77,94,24.9,49.49,0
78,94.33,25.51,49.55,0
79,95.13,25.2,49.37,0
80,97.13,25.21,49.34,0
81,96.4,25.22,49.35,0
82,97.2,25.54,49.29,0
83,259.13,24.56,51.18,0
84,379.53,7.58,52,0
85,377.27,0.28,51.95,0
86,342.67,0.07,51.51,0
87,316.53,0,51.28,0
88,315.2,0,51.47,0
89,318,0,51.59,0
90,371.13,0,52.37,0
91,369.27,0,52.59,0
92,367.6,0,52.66,0
93,367.53,0,52.63,0
94,366.73,0,52.73,0
95,364.53,0,53,0
96,362.87,0,53.24,0
97,362.07,0,53.35,0
98,360.73,0,53.31,0
99,359,0,53.69,0
100,359,0,53.59,0
101,359.4,0,53.67,0
102,357,0,53.78,0
103,359.4,0,53.76,0
104,357.2,0,54.02,0
