iteration,precision,recall,f1Score,accuracy,trueNegativeRate,falsePositiveRate,mse
1,0.01,0.50,0.02,0.89,0.89,0.11,0.11
2,0.00,0.00,0.00,0.95,0.95,0.05,0.05
3,0.00,0.00,0.00,0.98,0.98,0.02,0.02
4,0.00,0.00,0.00,0.98,0.98,0.02,0.02
5,0.00,0.00,0.00,0.98,0.98,0.02,0.02
6,0.00,0.00,0.00,0.99,0.99,0.01,0.01
7,0.00,0.00,0.00,0.99,0.99,0.01,0.01
8,0.00,0.00,0.00,0.99,1.00,0.00,0.01
9,0.00,0.00,0.00,1.00,1.00,0.00,0.00
10,0.00,0.00,0.00,0.99,0.99,0.01,0.01
11,0.00,0.00,0.00,1.00,1.00,0.00,0.00
12,0.00,0.00,0.00,1.00,1.00,0.00,0.00
13,0.00,0.00,0.00,1.00,1.00,0.00,0.00
14,0.00,0.00,0.00,0.99,0.99,0.01,0.01
15,0.00,0.00,0.00,0.99,1.00,0.00,0.01
16,0.00,0.00,0.00,1.00,1.00,0.00,0.00
17,0.00,0.00,0.00,1.00,1.00,0.00,0.00
18,0.00,0.00,0.00,1.00,1.00,0.00,0.00
19,0.00,0.00,0.00,1.00,1.00,0.00,0.00
20,0.00,0.00,0.00,1.00,1.00,0.00,0.00
21,0.00,0.00,0.00,1.00,1.00,0.00,0.00
22,0.00,0.00,0.00,0.99,1.00,0.00,0.01
23,0.00,0.00,0.00,1.00,1.00,0.00,0.00
24,0.00,0.00,0.00,1.00,1.00,0.00,0.00
25,0.00,0.00,0.00,1.00,1.00,0.00,0.00
