header,value,key
month_day_hour_min,'1_1_0_0',0
month_day_hour_min,'1_1_0_15',1
month_day_hour_min,'1_1_0_30',2
month_day_hour_min,'1_1_0_45',3
month_day_hour_min,'1_1_1_0',4
month_day_hour_min,'1_1_1_15',5
month_day_hour_min,'1_1_1_30',6
month_day_hour_min,'1_1_1_45',7
month_day_hour_min,'1_1_2_0',8
month_day_hour_min,'1_1_2_15',9
month_day_hour_min,'1_1_2_30',10
month_day_hour_min,'1_1_2_45',11
month_day_hour_min,'1_1_3_0',12
month_day_hour_min,'1_1_3_15',13
month_day_hour_min,'1_1_3_30',14
month_day_hour_min,'1_1_3_45',15
month_day_hour_min,'1_1_4_0',16
month_day_hour_min,'1_1_4_15',17
month_day_hour_min,'1_1_4_30',18
month_day_hour_min,'1_1_4_45',19
month_day_hour_min,'1_1_5_0',20
month_day_hour_min,'1_1_5_15',21
month_day_hour_min,'1_1_5_30',22
month_day_hour_min,'1_1_5_45',23
month_day_hour_min,'1_1_6_0',24
month_day_hour_min,'1_1_6_15',25
month_day_hour_min,'1_1_6_30',26
month_day_hour_min,'1_1_6_45',27
month_day_hour_min,'1_1_7_0',28
month_day_hour_min,'1_1_7_15',29
month_day_hour_min,'1_1_7_30',30
month_day_hour_min,'1_1_7_45',31
month_day_hour_min,'1_1_8_0',32
month_day_hour_min,'1_1_8_15',33
month_day_hour_min,'1_1_8_30',34
month_day_hour_min,'1_1_8_45',35
month_day_hour_min,'1_1_9_0',36
month_day_hour_min,'1_1_9_15',37
month_day_hour_min,'1_1_9_30',38
month_day_hour_min,'1_1_9_45',39
month_day_hour_min,'1_1_10_0',40
month_day_hour_min,'1_1_10_15',41
month_day_hour_min,'1_1_10_30',42
month_day_hour_min,'1_1_10_45',43
month_day_hour_min,'1_1_11_0',44
month_day_hour_min,'1_1_11_15',45
month_day_hour_min,'1_1_11_30',46
month_day_hour_min,'1_1_11_45',47
month_day_hour_min,'1_1_12_0',48
