num,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,month_day_hour_min,truth
5,2.07,247.15,0,0.109,196.56,18.5,253,32.12,261.93,0,51.04,0,0
6,2.1,306.77,0,0.11,182.76,18.61,249.93,32.39,259.33,0,51.23,1,0
7,2.13,269.94,0,0.11,194.23,18.5,251.67,32.19,262.67,0,51.03,2,0
8,2.16,307.57,0,0.11,171.88,18.65,248.13,32.48,271.47,0,51.59,3,0
9,2.19,360.82,0,0.109,178.46,18.73,242.07,32.97,313.73,0,52.38,4,0
10,2.23,360.49,0,0.11,153.45,18.61,242.27,32.97,316,0,52.31,5,0
11,2.27,361.25,0,0.109,160.81,18.66,242.73,32.93,325.67,0,52.52,6,0
12,2.31,412.33,0,0.11,159.33,18.5,240.4,33.14,350,0,53.16,7,0
13,2.37,419.17,0,0.11,151.02,18.22,237.93,33.32,366.07,0,53.36,8,0
14,2.42,432.61,0,0.11,140.03,18.18,235.93,33.48,366.27,0,53.47,9,0
15,2.47,413.29,0,0.11,146.49,18.3,235.73,33.52,364.87,0,53.54,10,0
16,2.52,442.81,0,0.11,143.2,18.18,233.93,33.69,364.87,0,53.61,11,0
17,2.58,435.32,0,0.109,136.35,18.29,232.27,33.82,365.87,0,53.69,12,0
18,2.63,428.91,0,0.109,129.39,18.15,231.47,33.89,365.2,0,53.76,13,0
19,2.68,428.93,0,0.11,124.68,18.14,231.53,33.86,364.4,0,53.69,14,0
20,2.74,431.12,0,0.109,130.73,18.04,230.87,33.91,364.2,0,53.78,15,0
21,2.79,437.03,0,0.109,138.08,18.16,229.53,34.03,360.8,0,54.04,16,0
22,2.85,474.36,0,0.109,147.58,18.22,258.73,34.15,358.87,0,54.1,17,0
23,2.91,463.97,0,0.109,131.02,18.24,257.93,34.39,357.2,0,54.24,18,0
24,2.97,472.23,0,0.11,125.07,18.18,257.67,34.44,356.47,0,54.23,19,0
25,3.03,460.56,0,0.11,128.3,18.16,256.53,34.48,356.13,0,54.29,20,0
26,3.08,455.21,0,0.11,123.35,18.18,255.93,34.58,354.87,0,54.4,21,0
27,3.14,446.86,0,0.109,120.56,18.2,259.93,34.23,356.27,0,54.12,22,0
28,3.2,426.83,0,0.109,123.6,18.23,254.47,34.47,355.4,0,54.28,23,0
29,3.25,414.31,0,0.109,135.43,18.63,258.13,34.33,356.27,0,54.18,24,0
30,3.31,432.38,0,0.107,134.2,19.5,258.53,34.31,355.93,0,54.16,25,0
31,3.36,387.31,0,0.106,117.87,19.67,260.47,34.18,337.73,18.93,53.84,26,0
32,3.41,255.63,0,0.106,120.14,19.58,267.73,33.54,214.33,26.67,52.07,27,0
