id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
0,2019 Nivel depósito ,0.24571428571428566,﻿Fecha_hora,0,0.43,0.43,0.44,0.43,0.44,0.45,0.43,0.44,0.41,0.44,0.43,0.44,0.45,0.44,0.43,0.42,0.45,0.46,0.45,0.43,0.44,0.44,0.43,0.42,0.43,10.90,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
1,2019 Nivel depósito ,0.27428571428571424,﻿Fecha_hora,0.002004008016032064,0.42,0.43,0.43,0.43,0.45,0.45,0.41,0.43,0.41,0.42,0.43,0.41,0.44,0.44,0.43,0.41,0.44,0.46,0.42,0.43,0.43,0.43,0.43,0.42,0.42,10.72,0.43,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
2,2019 Nivel depósito ,0.2971428571428571,﻿Fecha_hora,0.004008016032064128,0.43,0.43,0.44,0.44,0.46,0.43,0.42,0.44,0.42,0.43,0.43,0.43,0.44,0.45,0.42,0.43,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.44,0.44,10.94,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
3,2019 Nivel depósito ,0.32,﻿Fecha_hora,0.006012024048096192,0.44,0.43,0.45,0.44,0.45,0.44,0.41,0.44,0.42,0.44,0.45,0.44,0.45,0.45,0.42,0.43,0.45,0.44,0.46,0.44,0.44,0.43,0.43,0.44,0.44,10.97,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
4,2019 Nivel depósito ,0.34285714285714286,﻿Fecha_hora,0.008016032064128256,0.42,0.42,0.43,0.42,0.42,0.41,0.40,0.40,0.40,0.42,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.40,0.42,0.41,0.43,10.40,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
5,2019 Nivel depósito ,0.36571428571428566,﻿Fecha_hora,0.01002004008016032,0.42,0.41,0.43,0.42,0.41,0.41,0.40,0.42,0.40,0.42,0.43,0.40,0.41,0.42,0.41,0.42,0.43,0.42,0.43,0.43,0.42,0.40,0.43,0.42,0.42,10.43,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
6,2019 Nivel depósito ,0.3885714285714286,﻿Fecha_hora,0.012024048096192385,0.43,0.41,0.43,0.42,0.43,0.42,0.41,0.41,0.41,0.42,0.43,0.42,0.41,0.43,0.42,0.42,0.44,0.42,0.43,0.44,0.42,0.41,0.43,0.42,0.42,10.55,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
7,2019 Nivel depósito ,0.4171428571428572,﻿Fecha_hora,0.014028056112224449,0.42,0.41,0.43,0.43,0.43,0.45,0.41,0.42,0.40,0.43,0.43,0.42,0.41,0.42,0.42,0.41,0.43,0.43,0.42,0.42,0.42,0.40,0.42,0.42,0.41,10.51,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
8,2019 Nivel depósito ,0.44571428571428573,﻿Fecha_hora,0.01603206412825651,0.40,0.40,0.40,0.41,0.40,0.41,0.38,0.39,0.38,0.40,0.39,0.39,0.39,0.40,0.39,0.39,0.42,0.41,0.39,0.40,0.40,0.39,0.40,0.40,0.37,9.90,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
9,2019 Nivel depósito ,0.4685714285714285,﻿Fecha_hora,0.018036072144288578,0.39,0.39,0.40,0.40,0.40,0.39,0.40,0.39,0.39,0.39,0.39,0.40,0.39,0.39,0.39,0.39,0.40,0.41,0.39,0.41,0.39,0.39,0.40,0.41,0.38,9.87,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
