Fecha,hora,Caudal impulsión pozo (m3/h),on/off (0/1),2022 Nivel depósito ,2021 Nivel depósito ,2020 Nivel depósito ,2019 Nivel depósito ,2018 Nivel depósito ,2017 Nivel depósito ,2021 nivel depósito calculado,2021 nivel depósito normalizado,Caudal.Imp.GrupoBombeo (m3/h),Caudal impulsion Pozo1 (m3/h),Caudal.Inyectado.Verger (m3/h),2022 Caudal Iny. Dep. Municipal,2021 Caudal Iny. Dep. Municipal,2020 Caudal Iny. Dep. Municipal,2019 Caudal Iny. Dep. Municipal,2018 Caudal Iny. Dep. Municipal,2017 Caudal Iny. Dep. Municipal,2021 Caudal Iny. Dep. Municipal Calculado,2021 Caudal Iny. Dep. Municipal Normalizado,2022 SECTOR2 (BOTICARI VELL),2021 SECTOR2 (BOTICARI VELL),2020 SECTOR2 (BOTICARI VELL),2019 SECTOR2 (BOTICARI VELL),2018 SECTOR2 (BOTICARI VELL),2017 SECTOR2 (BOTICARI VELL),2021 SECTOR2 CALCULADA (BOTICARI VELL),2021 SECTOR2 NORMALIZADA (BOTICARI VELL),2022 SECTOR3 (LA VIA),2021 SECTOR3 (LA VIA),2020 SECTOR3 (LA VIA),2019 SECTOR3 (LA VIA),2018 SECTOR3 (LA VIA),2017 SECTOR3 (LA VIA),2021 SECTOR3 CALCULADA (LA VIA),2021 SECTOR3 NORMALIZADA (LA VIA),2022 SECTOR4 (PASSATGE),2021 SECTOR4 (PASSATGE),2020 SECTOR4 (PASSATGE),2019 SECTOR4 (PASSATGE),2018 SECTOR4 (PASSATGE),2017 SECTOR4 (PASSATGE),2021 SECTOR4 CALCULADA (PASSATGE),2021 SECTOR4 NORMALIZADA (PASSATGE),2022 SECTOR6 (POLIGON),2021 SECTOR6 (POLIGON),2020 SECTOR6 (POLIGON),2019 SECTOR6 (POLIGON),2018 SECTOR6 (POLIGON),2017 SECTOR6 (POLIGON),2021 SECTOR6 CALCULADA (POLIGON),2021 SECTOR6 NORMALIZADA (POLIGON),2022 SECTOR7 (PONT),2021 SECTOR7 (PONT),2020 SECTOR7 (PONT),2019 SECTOR7 (PONT),2018 SECTOR7 (PONT),2017 SECTOR7 (PONT),2021 SECTOR7 CALCULADA (PONT),2021 SECTOR7 NORMALIZADA (PONT),2022 SECTOR8 (OLIVAR),2021 SECTOR8 (OLIVAR),2020 SECTOR8 (OLIVAR),2019 SECTOR8 (OLIVAR),2018 SECTOR8 (OLIVAR),2017 SECTOR8 (OLIVAR),2021 SECTOR8 CALCULADA (OLIVAR),2021 SECTOR8 NORMALIZADA (OLIVAR)
01/01/2019,0:00:00,24.4,1,3.24,2.72,21.1,14.1,,,2.72,2.72,36.52,9.8,46.32,0,,0,2.6,,,0.87,0.87,3.20,7.00,,1.80,2.60,,7.00,7.00,1.20,1.20,0.40,0.70,,,1.20,1.20,2.90,0.00,2.10,0.30,,,1.77,1.77,6.40,1.00,4.70,20.90,,,1.000,1.000,4.30,3.40,5.30,3.60,,,3.4,3.4,0.50,,0.90,0.20,3.00,,1.15,1.15
01/01/2019,0:15:00,24.28,1,3.22,2.78,20.9,14.6,,,2.78,2.78,81.22,0,81.22,0,,2.56,2.56,,,1.71,1.71,2.90,6.20,,1.60,2.50,,6.20,6.20,0.80,0.80,0.80,0.60,,,0.80,0.80,3.30,0.20,2.70,0.30,,,0.20,0.20,6.40,1.00,2.00,19.00,,,1.000,1.000,4.10,3.40,5.40,3.40,,,3.4,3.4,0.40,,0.20,0.20,1.50,,0.58,0.58
01/01/2019,0:30:00,24.32,1,3.23,2.83,21.2,15,,,2.83,2.83,74.39,0,74.39,20.4,,3.28,2.12,,,8.60,8.60,2.80,7.20,,1.90,2.30,,7.20,7.20,0.80,1.20,0.40,0.60,,,1.20,1.20,3.20,0.10,2.40,0.40,,,0.10,0.10,6.40,1.10,2.80,24.70,,,1.100,1.100,3.90,3.40,4.90,3.80,,,3.4,3.4,0.50,,0.40,0.50,3.10,,1.13,1.13
01/01/2019,0:45:00,24.36,1,3.27,2.88,21.5,15.4,,,2.88,2.88,14.51,0,14.51,19.6,,3.32,1.96,,,8.29,8.29,3.00,6.90,,2.00,2.90,,6.90,6.90,1.20,1.20,0.40,0.60,,,1.20,1.20,3.20,0.20,1.90,0.10,,,0.20,0.20,6.40,1.00,2.30,25.30,,,1.000,1.000,3.70,3.40,5.20,3.10,,,3.4,3.4,0.50,,0.20,0.40,4.30,,1.35,1.35
01/01/2019,1:00:00,24.36,1,3.27,2.93,21.8,15.8,,,2.93,2.93,1.85,0,1.85,0,,3.16,1.88,,,1.68,1.68,3.30,6.80,,1.70,2.80,,6.80,6.80,0.80,1.20,0.40,0.60,,,1.20,1.20,2.80,0.10,1.80,0.50,,,0.10,0.10,6.40,1.00,3.30,28.80,0.80,,1.000,1.000,3.60,3.40,5.10,3.30,4.40,,3.4,3.4,1.20,,0.20,0.30,3.90,,1.40,1.40
01/01/2019,1:15:00,24.32,1,3.26,2.96,22,16.2,,,2.96,2.96,40.04,0,40.04,0,,2.08,2.44,,,1.51,1.51,2.50,6.20,,2.30,2.70,,6.20,6.20,0.80,1.20,0.00,0.60,,,1.20,1.20,2.90,0.00,1.90,0.40,,,1.73,1.73,6.40,1.10,2.30,25.00,0.80,,1.100,1.100,5.20,3.40,5.20,3.00,4.40,,3.4,3.4,1.30,,0.60,0.20,4.30,,1.60,1.60
01/01/2019,1:30:00,24.32,1,3.24,2.99,22.2,16.6,,,2.99,2.99,81.24,0,81.24,0,,2.68,2.68,,,1.79,1.79,2.40,6.20,,2.20,2.60,,6.20,6.20,1.20,1.20,0.40,0.60,,,1.20,1.20,2.90,0.00,1.70,0.10,,,1.57,1.57,6.40,1.00,2.60,29.30,0.80,,1.000,1.000,4.10,3.40,5.60,3.80,4.40,,3.4,3.4,0.90,,1.60,0.30,3.90,,1.68,1.68
01/01/2019,1:45:00,24.32,1,3.23,3.02,22.5,17.1,,,3.02,3.02,81.92,0,81.92,0,,3,2.68,,,1.89,1.89,3.30,6.20,,1.50,2.10,,6.20,6.20,0.80,0.80,0.40,0.70,,,0.80,0.80,2.80,0.00,2.80,0.20,,,1.93,1.93,6.40,1.00,4.20,29.90,0.80,,1.000,1.000,3.60,3.40,5.60,3.40,4.40,,3.4,3.4,0.50,,1.50,0.20,2.30,,1.13,1.13
01/01/2019,2:00:00,24.32,1,3.22,3.04,22.8,17.6,,,3.04,3.04,81.22,0,81.22,0,,3.48,2.64,,,2.04,2.04,2.20,6.90,,1.90,2.40,,6.90,6.90,1.20,1.20,0.40,0.90,,,1.20,1.20,2.30,0.00,1.90,0.90,,,1.70,1.70,6.40,1.00,1.10,22.40,0.80,,1.000,1.000,3.10,3.40,5.70,3.60,4.40,,3.4,3.4,0.30,,1.40,0.30,0.60,,0.65,0.65
01/01/2019,2:15:00,24.36,1,3.21,3.07,23.1,18,,,3.07,3.07,44.77,0,44.77,0,,3.24,2.68,,,1.97,1.97,1.70,6.10,,2.00,2.40,,6.10,6.10,1.20,1.20,0.40,1.10,,,1.20,1.20,2.20,0.00,1.60,3.10,,,2.30,2.30,6.40,1.00,1.00,23.00,0.80,,1.000,1.000,3.50,3.40,5.20,2.80,4.40,,3.4,3.4,0.40,,0.50,0.50,0.50,,0.48,0.48
